"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","BookingMarkets","362,500","angel","2013-06-12","Details",""
"2","Techstars","Tribe","300,000","seed","2015-07-06","Details",""
"3","Techstars","CheckIO","750,000","seed","2014-01-10","Details",""
"4","Techstars","PillPack","550,000","seed","2013-04-01","Details",""
"5","Techstars","AdmitHub","728,000","convertible_note","2016-08-14","Details",""
"6","Techstars","Revio","500,000","seed","2016-10-24","Details",""
"7","Techstars","Promoboxx","1,375,000","seed","2012-12-04","Details",""
"8","Techstars","Indico","3,000,000","seed","2014-11-13","Details",""
"9","Techstars","FullContact","1,850,000","seed","2011-09-08","Details",""
"10","Techstars","Placester","2,500,000","seed","2013-04-29","Details",""
"11","Techstars","PillPack","3,500,000","venture","2013-07-01","Details",""
"12","Techstars","GreatHorn","2,250,000","seed","2016-03-21","Details",""
"13","Techstars","FullContact","7,000,000","venture","2012-07-09","Details",""
"14","Techstars","BookingMarkets","275,000","angel","2014-01-15","Details",""
"15","Techstars","Story To College","870,000","seed","2015-04-01","Details",""
"16","Techstars","GoChime","1,750,000","angel","2014-03-01","Details","Exited"
"17","Techstars","BookingMarkets","222,500","angel","2013-01-15","Details",""
