"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Wayra","Chuisy","50,000","convertible_note","2012-10-03","Details",""
"2","Techstars","Cloud 66","402,033","convertible_note","2014-09-30","Details",""
"3","Techstars","Akdemia","154,618","seed","2014-03-01","Details",""
"4","Wayra","Frockadvisor","20,000","seed","2013-10-01","Details",""
"5","Wayra","Woopie","65,000","grant","2013-09-01","Details",""
"6","Matter.","Woopie","65,000","grant","2013-09-01","Details",""
"7","Wayra","BIG Launcher","39,250","seed","2013-11-01","Details",""
"8","Wayra","Datamolino","500,000","seed","2014-02-06","Details",""
"9","Wayra","Superbly.co","50,000","seed","2013-10-01","Details",""
"10","Wayra","zyncd","150,000","seed","2014-02-02","Details",""
"11","Wayra","OptiWi-Fi","50,000","convertible_note","2012-09-09","Details",""
"12","Wayra","Cleverlize","50,000","venture","2013-12-01","Details",""
"13","Emerge Venture Lab","StudentFunder","656,679","grant","2014-10-01","Details",""
"14","Matter.","Woopie","50,000","seed","2012-10-01","Details",""
"15","Techstars","Paymins","120,000","seed","2013-09-01","Details",""
"16","Wayra","SeeSearch","50,000","seed","2014-03-01","Details",""
"17","Wayra","SeeSearch","20,000","seed","2013-12-01","Details",""
"18","Startupbootcamp","AVUXI","200,000","grant","2014-12-15","Details",""
"19","Nxtp.labs","Widow","47,347","convertible_note","2014-10-01","Details",""
"20","Y Combinator","Her","110,500","seed","2013-09-22","Details",""
"21","Y Combinator","Her","488,819","convertible_note","2014-10-01","Details",""
"22","Wayra","BragBet","246,500","convertible_note","2014-05-01","Details",""
"23","Wayra","Trustev","","seed","2015-07-01","Details","Exited"
"24","Wayra","Trustev","3,207,168","convertible_note","2014-11-01","Details","Exited"
"25","Wayra","Gotcha Ninjas","40,000","seed","2013-10-01","Details","Dead"
"26","Y Combinator","Her","60,953","convertible_note","2013-04-29","Details",""
"27","500startups","iBillionaire","576,955","seed","2014-02-01","Details",""
"28","Techstars","Cloud 66","30,900","seed","2013-09-01","Details",""
"29","Wayra","Becoacht","50,000","seed","2013-08-01","Details",""
"30","Wayra","Hiri","50,000","seed","2012-10-01","Details",""
"31","Wayra","Naymit","20,000","seed","2013-10-01","Details",""
"32","Wayra","Trustev","300,000","angel","2013-02-14","Details","Exited"
"33","Wayra","Pockets United","50,000","debt_financing","2012-11-01","Details",""
"34","Wayra","Superbly.co","50,000","seed","2012-10-01","Details",""
"35","Wayra","Hiri","250,000","grant","2013-12-01","Details",""
"36","Wayra","Conker","70,000","grant","2013-09-01","Details",""
"37","Wayra","SeeSearch","20,000","seed","2013-12-01","Details",""
"38","Wayra","SeeSearch","50,000","seed","2014-03-01","Details",""
"39","Wayra","BragBet","315,000","convertible_note","2013-08-01","Details",""
"40","Seedrocket","Infantium","1,500,000","grant","2015-01-01","Details",""
