"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Experiment","","angel","2013-02-05","Details",""
"2","Techstars","Freight Farms","1,205,000","seed","2013-12-09","Details",""
"3","Y Combinator","Watchsend","650,000","seed","2013-06-01","Details",""
"4","Y Combinator","FutureLeague","275,000","debt_financing","2014-01-15","Details",""
"5","Y Combinator","ShipBob","1,000,000","seed","2015-04-29","Details",""
"6","Y Combinator","Asseta","535,000","seed","2014-02-03","Details",""
"7","Media Camp","Dealflicks","","seed","2013-05-01","Details",""
"8","500startups","Geekatoo","1,700,000","venture","2014-07-30","Details","Exited"
"9","Y Combinator","FutureLeague","1,200,000","seed","2014-06-01","Details",""
"10","500startups","Dealflicks","","seed","2013-05-01","Details",""
"11","Y Combinator","Guesty","1,500,000","seed","2014-06-16","Details",""
"12","Y Combinator","SimpleLegal","","seed","2013-08-27","Details",""
"13","Y Combinator","Goldbely","3,000,000","seed","2013-09-17","Details",""
"14","Y Combinator","Doblet","1,300,000","seed","2015-05-07","Details",""
"15","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"16","Y Combinator","RealCrowd","1,600,000","seed","2014-03-26","Details",""
"17","Y Combinator","EquipmentShare","2,100,000","seed","2015-05-06","Details",""
"18","Y Combinator","Zenefits","2,100,000","seed","2013-07-26","Details",""
"19","500startups","WhalePath","1,100,000","seed","2014-09-04","Details",""
