"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Regalii","2,000,000","seed","2014-01-01","Details",""
"2","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"3","Techstars","SPIDR Tech","","venture","2016-06-22","Details",""
"4","Tumml","Hitch","600,000","seed","2014-03-13","Details","Exited"
"5","Y Combinator","Caviar","2,000,000","seed","2013-01-01","Details","Exited"
"6","Y Combinator","Kimono","","seed","2014-05-27","Details","Exited"
"7","500startups","Partender","","seed","2014-05-01","Details",""
"8","Y Combinator","Authy","2,300,000","seed","2014-09-08","Details","Exited"
"9","The Alchemist Accelerator","Matternet","","venture","2014-06-03","Details",""
"10","Y Combinator","Asseta","1,000,000","seed","2015-03-13","Details",""
"11","Y Combinator","OnboardIQ","3,300,000","seed","2015-05-18","Details",""
"12","Y Combinator","Memebox","17,500,000","venture","2015-01-30","Details",""
"13","Techstars","Astro","800,000","debt_financing","2014-06-25","Details",""
"14","Y Combinator","Direct Match","3,000,000","seed","2015-05-07","Details",""
"15","Y Combinator","Memebox","11,920,000","venture","2014-07-01","Details",""
"16","Y Combinator","Chariot","3,000,000","seed","2015-04-22","Details","Exited"
"17","500startups","GoRefi","1,540,000","seed","2014-09-09","Details",""
