"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","Pogoseat","2,300,000","seed","2014-07-01","Details",""
"2","AngelPad","Pogoseat","750,000","seed","2013-09-01","Details",""
"3","Y Combinator","BlueSmart","12,000,000","venture","2017-01-25","Details",""
"4","Y Combinator","Kamcord","10,000,000","venture","2016-04-25","Details",""
"5","Y Combinator","Kamcord","1,500,000","seed","2012-12-19","Details",""
"6","Techstars","Keen.io","14,700,000","venture","2016-06-29","Details",""
"7","Y Combinator","Nowmov","","angel","2010-05-01","Details","Dead"
"8","Y Combinator","Science Exchange","1,500,000","seed","2011-12-02","Details",""
"9","500startups","Dealflicks","","seed","2013-05-01","Details",""
"10","Y Combinator","Tsumobi","","undisclosed","2008-05-09","Details","Dead"
"11","Y Combinator","Apptimize","","undisclosed","2013-09-04","Details",""
"12","Y Combinator","Tsumobi","","undisclosed","2007-01-01","Details","Dead"
"13","AngelPad","Adku","1,500,000","seed","2010-12-09","Details","Exited"
"14","Springboard","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"15","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"16","500startups","Baker","1,600,000","seed","2016-08-05","Details",""
"17","Y Combinator","Kamcord","7,600,000","venture","2014-05-01","Details",""
"18","500startups","Baker","3,500,000","venture","2017-03-14","Details",""
"19","Imagine K12","NoRedInk","","undisclosed","2012-11-01","Details",""
"20","Techstars","Keen.io","2,350,000","seed","2013-10-23","Details",""
"21","AngelPad","Adku","","undisclosed","2011-12-09","Details","Exited"
"22","500startups","OLSET","600,000","seed","2014-05-16","Details","Exited"
"23","Y Combinator","JustSpotted","750,000","seed","2009-10-29","Details","Exited"
"24","Y Combinator","Kamcord","15,000,000","venture","2014-12-11","Details",""
"25","500startups","PredictionIO","2,500,000","seed","2014-07-17","Details","Exited"
"26","Y Combinator","Apptimize","2,100,000","seed","2014-01-22","Details",""
"27","500startups","OLSET","450,000","seed","2013-12-15","Details","Exited"
"28","Media Camp","Dealflicks","","seed","2013-05-01","Details",""
