"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Insoshi","","seed","2008-01-01","",""
"2","Y Combinator","NudgePad","","seed","2009-08-02","","Dead"
"3","Y Combinator","Rent.io","","seed","2012-08-01","",""
"4","Y Combinator","Testmunk","","seed","2012-08-01","Details",""
"5","Y Combinator","BlueFrogGaming","","seed","2007-06-01","Details",""
"6","Y Combinator","HistoWiz","120,000","seed","2015-11-01","Details",""
"7","Y Combinator","GetAccept","120,000","seed","2015-11-21","Details",""
"8","Y Combinator","Backtype","15,000","seed","2008-06-01","Details","Exited"
"9","Y Combinator","Panorama Education","","seed","2013-03-01","Details",""
"10","Y Combinator","Shout","120,000","seed","2014-07-16","Details",""
"11","Y Combinator","Newsblur","","seed","2012-08-01","Details",""
"12","Y Combinator","EngageInbox","","seed","2012-03-01","Details","Dead"
"13","Y Combinator","Allscreen","500,000","seed","2010-05-05","Details",""
"14","Y Combinator","ClickFacts","","seed","2005-08-01","Details",""
"15","Y Combinator","Stypi","","undisclosed","2011-08-02","Details","Exited"
"16","Y Combinator","Copia","120,000","seed","2015-11-01","Details",""
"17","Y Combinator","Fivetran","","seed","2013-03-01","Details",""
"18","Y Combinator","DoorDash","","seed","2013-03-01","Details",""
"19","Orange Fab","soil IQ","120,000","seed","2014-07-16","Details",""
"20","Y Combinator","Mason America","120,000","seed","2015-11-01","Details",""
"21","Y Combinator","Rocketrip","575,000","seed","2013-07-03","Details",""
"22","Y Combinator","ZenProspect","120,000","seed","2015-11-01","Details",""
"23","Y Combinator","Checkr","40,000,000","venture","2016-03-23","Details",""
"24","Bizdom","Cribspot","660,000","seed","2014-09-21","Details",""
"25","Y Combinator","Weave","5,000,000","venture","2014-06-11","Details","Dead"
"26","Y Combinator","Shoutfit","","seed","2006-08-02","Details",""
"27","Y Combinator","Zillabyte","","seed","2012-04-20","Details",""
"28","Y Combinator","FanChatter","20,000","seed","2009-06-01","Details",""
"29","Y Combinator","Underground Cellar","1,000,000","seed","2014-09-18","Details",""
"30","Y Combinator","Kivo","","seed","2013-05-01","Details",""
"31","Y Combinator","eBrandValue","","seed","2015-01-01","Details",""
"32","Y Combinator","SketchDeck","500,000","seed","2015-02-04","Details",""
"33","Y Combinator","HauteDay","120,000","seed","2014-07-16","Details",""
"34","Y Combinator","20n","120,000","seed","2014-12-01","Details",""
"35","Y Combinator","Slidemail","120,000","seed","2014-12-01","Details",""
"36","Y Combinator","Spoil","120,000","seed","2015-01-26","Details",""
"37","Y Combinator","EasyPost","2,250,000","seed","2014-01-01","Details",""
"38","Y Combinator","Cloudkick","750,000","venture","2009-09-14","Details","Exited"
"39","Y Combinator","Glassmap","","seed","2011-08-02","Details","Exited"
"40","Y Combinator","Videopixie","","seed","2011-06-01","Details",""
"41","Y Combinator","MailTime","120,000","seed","2015-11-01","Details",""
"42","Y Combinator","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"43","Y Combinator","BridgeUs","","seed","2011-08-02","Details",""
"44","Y Combinator","mRelief","120,000","seed","2016-03-17","Details",""
"45","Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"46","Y Combinator","Browsarity","","seed","2010-03-02","Details",""
"47","Y Combinator","Kiko","50,000","seed","2005-08-01","Details","Exited"
"48","Y Combinator","Helion Energy","1,500,000","seed","2014-08-14","Details",""
"49","Y Combinator","PollGround","","seed","2006-08-02","Details",""
"50","Y Combinator","Beep","1,600,000","seed","2014-06-01","Details",""
"51","Y Combinator","Siasto","750,000","venture","2013-08-09","Details",""
"52","Y Combinator","Zigfu","","seed","2011-08-02","Details",""
"53","Y Combinator","Midnox","","seed","2012-03-01","Details","Exited"
"54","Y Combinator","Crohnology","","seed","2012-08-01","Details","Exited"
"55","Y Combinator","Gecko Robotics","120,000","seed","2015-11-01","Details",""
"56","Y Combinator","HackPad","","seed","2012-03-01","Details","Exited"
"57","Y Combinator","Two Tap","","seed","2014-01-01","Details",""
"58","Y Combinator","Opzi","15,000","seed","2010-01-01","Details","Dead"
"59","Y Combinator","Chariot","3,000,000","seed","2015-04-22","Details","Exited"
"60","Y Combinator","TenantTurner","500,000","seed","2015-07-28","Details",""
"61","Y Combinator","Scoutzie","","seed","2012-08-10","Details",""
"62","Y Combinator","StackLead","","seed","2014-01-01","Details",""
"63","Y Combinator","PaveIQ","120,000","seed","2015-11-21","Details",""
"64","Y Combinator","URX","","seed","2013-06-01","Details","Exited"
"65","Y Combinator","MadeSolid","","seed","2014-01-01","Details",""
"66","Y Combinator","Webflow","2,900,000","seed","2014-03-11","Details",""
"67","500startups","Clicky","20,000","seed","2007-06-01","Details",""
"68","Y Combinator","Quartzy","1,200,000","seed","2012-02-23","Details",""
"69","Y Combinator","Outbound","120,000","seed","2015-01-01","Details","Exited"
"70","Y Combinator","Chart.io","1,290,000","seed","2010-06-01","Details",""
"71","Y Combinator","Zencoder","","seed","2010-02-01","Details","Exited"
"72","Y Combinator","ROSS Intelligence","120,000","seed","2015-09-01","Details",""
"73","Y Combinator","Floobits","","seed","2013-06-01","Details",""
"74","Y Combinator","NetBeez","120,000","seed","2016-01-26","Details",""
"75","Y Combinator","Mixpanel","15,000","seed","2009-07-01","Details",""
"76","Y Combinator","Scribd","12,000","seed","2006-06-01","Details",""
"77","Y Combinator","Hipmunk","15,000","seed","2010-08-17","Details","Exited"
"78","Y Combinator","Toymail","1,500,000","seed","2015-07-16","Details",""
"79","Y Combinator","Stitch","120,000","seed","2015-11-01","Details",""
"80","Y Combinator","Iron Ox","120,000","seed","2015-11-01","Details",""
"81","Y Combinator","YC W15 Stealth - #108","200,000","venture","2014-12-12","Details",""
"82","Y Combinator","Reduced Energy Microsystems (REM)","120,000","seed","2015-11-01","Details",""
"83","Y Combinator","Foodoro","","seed","2009-01-01","Details",""
"84","Y Combinator","Physio Health","120,000","seed","2015-11-21","Details",""
"85","Y Combinator","Sliced Investing","2,000,000","seed","2014-11-17","Details",""
"86","Y Combinator","Double Robotics","1,900,000","seed","2012-09-21","Details",""
"87","Y Combinator","Smarking","3,000,000","seed","2015-05-13","Details",""
"88","Y Combinator","Bridge","","seed","2011-03-02","Details",""
"89","HAXLR8R","Nomiku","120,000","seed","2014-12-01","Details",""
"90","Y Combinator","Emote","120,000","seed","2016-08-24","Details",""
"91","Y Combinator","CloudMedX","6,600,000","seed","2015-05-01","Details",""
"92","Y Combinator","GO1","4,000,000","seed","2016-12-11","Details",""
"93","Y Combinator","Leaky","","seed","2011-08-02","Details","Exited"
"94","Y Combinator","San Francisco Open Exchange","120,000","seed","2014-07-16","Details",""
"95","Y Combinator","Ledger Investing","140,000","seed","2017-01-01","Details",""
"96","500startups","ShearShare","290,000","seed","2017-02-15","Details",""
"97","Y Combinator","Ravti","120,000","seed","2014-07-16","Details",""
"98","Y Combinator","Snapjoy","","seed","2011-06-01","Details","Exited"
"99","Y Combinator","Perlara","120,000","seed","2016-03-18","Details",""
