"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Capital Innovators","FoodEssentials","50,000","grant","2012-06-01","Details",""
"2","Capital Innovators","Material Mix","50,000","seed","2012-05-10","Details","Dead"
"3","Capital Innovators","Juristat","100,000","grant","2014-04-11","Details",""
"4","Capital Innovators","Rovertown","100,000","grant","2014-04-14","Details",""
"5","Capital Innovators","Rovertown","50,000","grant","2013-07-01","Details",""
"6","Capital Innovators","AdFreeq","50,000","grant","2013-05-14","Details",""
"7","Capital Innovators","FoodEssentials","100,000","grant","2013-04-05","Details",""
"8","The Alchemist Accelerator","Tallyfy","40,000","seed","2013-12-13","Details",""
"9","Capital Innovators","Juristat","50,000","grant","2013-07-01","Details",""
"10","Capital Innovators","TrakBill","50,000","grant","2013-05-14","Details",""
"11","500startups","Tallyfy","40,000","seed","2013-12-13","Details",""
