"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Credii","50,000","seed","2013-05-01","Details",""
"2","Portland Seed Fund","Cloudability","1,100,000","seed","2011-12-22","Details",""
"3","Techstars","Cloudability","1,100,000","seed","2011-12-22","Details",""
"4","LightningLab","CommonLedger","","seed","2014-07-22","Details",""
"5","Tech Wildcatters","Credii","50,000","seed","2013-05-01","Details",""
"6","Techstars","Cloud 66","150,000","seed","2013-10-16","Details",""
"7","Techstars","Cloud 66","350,000","seed","2014-01-01","Details",""
"8","LightningLab","Publons","","seed","2013-07-01","Details","Exited"
"9","Portland Incubator Experiment (PIE)","Cloudability","1,100,000","seed","2011-12-22","Details",""
"10","The Alchemist Accelerator","Tylr Mobile","1,500,000","seed","2013-11-04","Details","Dead"
