"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"2","AlphaLab","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"3","Imagine K12","BloomBoard","7,200,000","venture","2015-06-30","Details",""
"4","Techstars","Impact Health","3,300,000","seed","2017-03-16","Details",""
"5","FounderFuel","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"6","Techstars","Impact Health","1,300,000","seed","2016-04-27","Details",""
"7","AlphaLab","NoWait","2,000,000","venture","2012-08-28","Details","Exited"
"8","AlphaLab","NoWait","10,000,000","venture","2014-05-20","Details","Exited"
"9","AlphaLab","Insurance Zebra","1,500,000","seed","2013-01-31","Details",""
"10","Techstars","Impact Health","1,650,000","seed","2016-10-23","Details",""
"11","AlphaLab","The Resumator","2,100,000","venture","2012-10-30","Details",""
"12","AlphaLab","The Resumator","15,000,000","venture","2014-08-19","Details",""
"13","Imagine K12","BloomBoard","5,000,000","venture","2013-09-04","Details",""
"14","Y Combinator","Estimote","3,100,000","seed","2013-12-10","Details",""
