"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","CompStak","4,400,000","venture","2014-11-17","Details",""
"2","Techstars","Realty Mogul","35,000,000","venture","2015-07-14","Details",""
"3","Y Combinator","Rocketrip","3,000,000","venture","2014-07-14","Details",""
"4","Y Combinator","Direct Match","6,000,000","venture","2016-01-07","Details",""
"5","Y Combinator","Instacart","44,000,000","venture","2014-06-16","Details",""
"6","Techstars","LeanPlum","29,000,000","venture","2016-10-18","Details",""
"7","Y Combinator","Instacart","8,500,000","venture","2013-04-04","Details",""
"8","500startups","CompStak","4,450,000","venture","2013-04-10","Details",""
"9","Y Combinator","Rocketrip","9,000,000","venture","2016-06-20","Details",""
"10","Techstars","Realty Mogul","9,000,000","venture","2014-03-27","Details",""
"11","Y Combinator","Instacart","2,300,000","seed","2012-10-15","Details",""
"12","Y Combinator","Rocketrip","2,600,000","venture","2014-02-10","Details",""
