"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Havenly","5,800,000","venture","2016-03-29","Details",""
"2","Mucker Lab","BloomNation","5,550,000","venture","2014-10-07","Details",""
"3","Mucker Lab","BloomNation","1,650,000","seed","2013-10-24","Details",""
"4","Excelerate Labs","Power2Switch","1,300,000","seed","2011-12-05","Details","Exited"
"5","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"6","Excelerate Labs","SpotHero","20,000,000","venture","2015-08-19","Details",""
"7","Techstars","Telnyx","1,000,000","seed","2014-09-12","Details",""
"8","gener8tor","Catalyze","2,300,000","venture","2013-11-07","Details",""
"9","Mergelane","Havenly","7,500,000","venture","2015-11-04","Details",""
"10","Techstars","Tempo","3,200,000","venture","2013-10-09","Details","Dead"
"11","Blueprint Health","CredSimple","2,000,000","seed","2016-11-24","Details",""
"12","Excelerate Labs","Food Genius","1,000,000","venture","2013-09-17","Details","Exited"
"13","500startups","BrightPolicy","650,000","angel","2016-09-09","Details",""
"14","gener8tor","Catalyze","6,500,000","venture","2016-09-21","Details",""
"15","Techstars","LogicGate","1,900,000","seed","2016-12-01","Details",""
"16","500startups","Havenly","7,500,000","venture","2015-11-04","Details",""
"17","Techstars","SimpleRelevance","400,000","seed","2012-03-01","Details","Exited"
"18","ImpactEngine","Pangea","1,000,000","seed","2013-05-01","Details",""
"19","Y Combinator","Mimir","750,000","seed","2016-08-18","Details",""
"20","The Brandery","Donde","1,000,000","seed","2014-02-05","Details","Exited"
"21","Mergelane","Havenly","5,800,000","venture","2016-03-29","Details",""
