"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Mocavo","4,100,000","venture","2012-05-16","Details",""
"2","Techstars","Moveline","1,500,000","seed","2012-10-31","Details",""
"3","Techstars","Red Rover","418,000","seed","2011-10-01","Details",""
"4","Techstars","Mobiplug","2,700,000","seed","2012-09-25","Details",""
"5","Techstars","Dispatch","965,000","seed","2011-11-10","Details",""
"6","Techstars","EventVue","440,000","venture","2007-09-01","Details","Dead"
"7","Excelerate Labs","SpotHero","2,500,000","venture","2012-12-13","Details",""
"8","Techstars","Tred","1,700,000","angel","2013-01-15","Details",""
"9","Techstars","Filtrbox","500,000","seed","2008-02-28","Details","Exited"
"10","Techstars","Foodzie","1,000,000","seed","2008-12-16","Details","Exited"
"11","iVentures10","Next Big Sound","1,000,000","seed","2009-12-03","Details","Exited"
"12","Techstars","The Shared Web","225,000","convertible_note","2011-01-01","Details","Exited"
"13","Techstars","ThinkNear","1,630,000","venture","2011-08-13","Details","Exited"
"14","Techstars","madKast","300,000","venture","2007-10-01","Details","Exited"
"15","Techstars","SketchFab","2,000,000","seed","2013-12-05","Details",""
"16","Excelerate Labs","Tap.Me","1,400,000","venture","2011-05-12","Details","Exited"
"17","StartEngine","Enplug","2,500,000","seed","2014-04-17","Details",""
"18","Techstars","Take Comics","1,200,000","venture","2010-01-04","Details","Exited"
"19","Techstars","IntenseDebate","500,000","angel","2007-10-01","Details","Exited"
"20","Techstars","Highlighter.com","330,000","angel","2011-12-01","Details","Exited"
"21","Excelerate Labs","GiveForward","500,000","venture","2011-02-14","Details","Exited"
"22","Techstars","ReportGrid","2,000,000","venture","2012-05-24","Details","Exited"
"23","Techstars","Ordr.in","200,000","seed","2012-09-01","Details","Dead"
"24","500startups","baydin","375,000","seed","2011-04-05","Details",""
"25","Excelerate Labs","SpotHero","4,500,000","venture","2014-06-11","Details",""
"26","Techstars","Devver","500,000","venture","2008-10-01","Details","Dead"
"27","Le Camping","Sketchfab","2,000,000","seed","2013-12-05","Details",""
"28","Techstars","Marginize","650,000","seed","2010-08-11","Details",""
"29","Techstars","ReportGrid","750,000","seed","2011-10-05","Details","Exited"
"30","Techstars","Kato","1,760,000","venture","2013-08-01","Details",""
"31","Techstars","Adstruc","1,100,000","seed","2010-09-28","Details",""
"32","Techstars","SimpleEnergy","2,016,500","venture","2013-02-19","Details",""
"33","Techstars","Ordr.in","650,000","seed","2011-10-18","Details","Dead"
"34","Techstars","ChatID","2,000,000","seed","2012-01-01","Details",""
"35","Techstars","Kapost","1,100,000","venture","2010-09-15","Details",""
"36","Techstars","Mocavo","1,000,000","venture","2011-09-30","Details",""
