"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Eleven Startup Accelerator","Volofy","25,000","seed","2013-09-18","Details",""
"2","Eleven Startup Accelerator","TourVia.me","25,000","seed","2014-02-01","Details",""
"3","Eleven Startup Accelerator","Lionsharp","452,000","seed","2013-12-01","Details",""
"4","Eleven Startup Accelerator","Unioncy","25,000","seed","2013-01-07","Details",""
"5","Eleven Startup Accelerator","GymRealm","55,000","seed","2014-06-01","Details",""
"6","Springboard - Internet of Things","Playground Energy","25,000","seed","2012-07-31","Details",""
"7","Eleven Startup Accelerator","Lionsharp","25,000","seed","2013-04-01","Details",""
"8","Eleven Startup Accelerator","TaxiMe","25,000","convertible_note","2014-02-01","Details",""
"9","Eleven Startup Accelerator","Hungr.io","25,000","seed","2013-09-18","Details","Dead"
"10","Eleven Startup Accelerator","zzzzapp!","30,000","convertible_note","2014-03-01","Details",""
"11","Eleven Startup Accelerator","Eventyard","60,000","convertible_note","2013-06-01","Details",""
"12","Eleven Startup Accelerator","Squee","25,000","seed","2013-01-01","Details",""
"13","Eleven Startup Accelerator","Farmhopping","10,000","convertible_note","2013-12-01","Details",""
"14","Eleven Startup Accelerator","Playground Energy","25,000","seed","2012-07-31","Details",""
"15","Eleven Startup Accelerator","Sensika","25,000","seed","2012-09-01","Details",""
"16","Eleven Startup Accelerator","NumberPicture","25,000","seed","2013-08-01","Details",""
"17","Eleven Startup Accelerator","Playground Energy","25,000","convertible_note","2015-09-01","Details",""
"18","Eleven Startup Accelerator","Playground Energy","150,000","seed","2013-06-06","Details",""
"19","Techstars","VetCloud","150,000","seed","2013-06-02","Details",""
"20","Eleven Startup Accelerator","Yanado","25,000","seed","2014-01-28","Details",""
"21","Eleven Startup Accelerator","Skiipi","25,000","seed","2013-05-01","Details",""
"22","Axel Springer Plug and Play","Enso","50,000","convertible_note","2015-12-01","Details",""
"23","Eleven Startup Accelerator","GymRealm","281,000","seed","2015-07-01","Details",""
"24","Eleven Startup Accelerator","Farmia","25,000","seed","2014-08-01","Details",""
"25","Eleven Startup Accelerator","Sensika","175,000","seed","2013-02-01","Details",""
"26","Eleven Startup Accelerator","Wobeek","25,000","seed","2013-04-01","Details",""
"27","Eleven Startup Accelerator","Filement","35,000","seed","2015-08-01","Details",""
"28","Eleven Startup Accelerator","Skiipi","25,000","seed","2015-12-01","Details",""
"29","Eleven Startup Accelerator","Sensika","25,000","convertible_note","2015-12-01","Details",""
"30","Eleven Startup Accelerator","Casetrek","25,000","seed","2013-04-01","Details",""
"31","Eleven Startup Accelerator","TourVia.me","25,000","convertible_note","2014-10-01","Details",""
"32","Eleven Startup Accelerator","Vetcloud","150,000","seed","2013-06-02","Details",""
"33","Techstars","VetCloud","35,000","seed","2013-01-01","Details",""
"34","Eleven Startup Accelerator","MaistorPlus","25,000","convertible_note","2015-01-01","Details",""
"35","Eleven Startup Accelerator","Divesquare","25,000","seed","2013-08-01","Details",""
"36","Eleven Startup Accelerator","Lionsharp","25,000","seed","2013-08-01","Details",""
"37","Eleven Startup Accelerator","Farmhopping","25,000","seed","2012-09-01","Details",""
"38","Eleven Startup Accelerator","Join The Players","25,000","seed","2013-11-30","Details",""
"39","Eleven Startup Accelerator","Gruvit","25,000","seed","2013-09-11","Details","Dead"
"40","Springboard - Internet of Things","Playground Energy","25,000","seed","2013-02-03","Details",""
"41","Eleven Startup Accelerator","Edgar, the storyteller","35,000","seed","2014-01-06","Details",""
"42","Eleven Startup Accelerator","TaxiMe","250,000","seed","2014-11-01","Details",""
