"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","CompStak","570,000","seed","2012-10-18","Details",""
"2","Amplify.LA","hellotech","2,500,000","seed","2015-01-27","Details",""
"3","fbFund","Life360","10,000,000","venture","2013-07-07","Details",""
"4","Y Combinator","VIVE","2,300,000","seed","2016-02-16","Details",""
"5","Techstars","Verificient Technologies","1,750,000","convertible_note","2014-01-21","Details",""
"6","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"7","500startups","CompStak","4,450,000","venture","2013-04-10","Details",""
"8","500startups","CompStak","570,000","seed","2012-12-31","Details",""
"9","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"10","Boost VC","Airenvy","2,650,000","venture","2015-01-20","Details",""
"11","AngelPad","Postmates","5,000,000","venture","2013-03-19","Details",""
"12","500startups","CompStak","4,400,000","venture","2014-11-17","Details",""
"13","500startups","TenderTree","1,300,000","seed","2012-11-14","Details","Dead"
"14","Techstars","EmergentONE","330,000","seed","2012-07-01","Details","Dead"
"15","Techstars","Cosmos Labs","850,000","seed","2015-12-15","Details",""
"16","fbFund","Life360","50,000,000","venture","2014-05-15","Details",""
"17","Techstars","Latch","10,500,000","venture","2016-02-10","Details",""
"18","Entrepreneurs Roundtable Accelerator","PricingEngine","200,000","convertible_note","2012-01-01","Details",""
"19","AngelPad","LoftSmart","1,725,000","seed","2016-09-28","Details",""
"20","Boost VC","Airenvy","13,500,000","venture","2017-06-21","Details",""
"21","Techstars","Latch","10,000,000","venture","2017-05-10","Details",""
"22","AngelPad","Paintzen","1,805,000","seed","2014-10-16","Details",""
"23","500startups","fitocracy","250,000","seed","2013-01-01","Details",""
"24","Techstars","Astro","2,523,550","venture","2015-04-07","Details",""
"25","LAUNCH incubator","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"26","AngelPad","Periscope","","seed","2012-12-26","Details",""
"27","Y Combinator","Firebase","1,400,000","seed","2012-05-24","Details","Exited"
"28","500startups","chalkable","1,300,000","seed","2012-09-04","Details","Exited"
