"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","SnowShoe","2,200,000","seed","2014-10-14","Details",""
"2","Techstars","Mapkin","1,200,000","angel","2014-07-31","Details","Exited"
"3","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"4","Mergelane","Havenly","7,500,000","venture","2015-11-04","Details",""
"5","Techstars","Codementor","","venture","2014-11-06","Details",""
"6","Techstars","Hammerhead","3,000,000","seed","2015-12-01","Details",""
"7","Techstars","SnowShoe","2,200,000","seed","2014-10-14","Details",""
"8","Techstars","Stream","1,750,000","seed","2015-08-11","Details",""
"9","Techstars","Edify","550,000","seed","2015-12-15","Details",""
"10","500startups","Ivee","1,000,000","seed","2015-05-11","Details",""
"11","Y Combinator","CoinTent","1,075,000","seed","2015-04-20","Details",""
"12","500startups","Havenly","7,500,000","venture","2015-11-04","Details",""
"13","Y Combinator","Peer5","","venture","2014-10-23","Details",""
"14","innovyz start","Beneath The Ink","","venture","2014-09-11","Details",""
"15","HAXLR8R","Kindara","5,300,000","seed","2015-08-19","Details",""
"16","Techstars","SickWeather","350,000","seed","2014-09-12","Details",""
"17","Upwest Labs","Peer5","","venture","2014-10-23","Details",""
"18","Straight Shot","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"19","Techstars","All4Staff","1,500,000","venture","2015-01-02","Details",""
"20","Techstars","Uvize","500,000","seed","2014-03-28","Details","Exited"
"21","Techstars","Cuseum","1,290,000","seed","2015-02-18","Details",""
"22","Techstars","Hammerhead","50,000","venture","2014-10-28","Details",""
"23","Techstars","Notion","2,500,000","seed","2015-05-26","Details",""
"24","Techstars","Lassy Project","750,120","venture","2015-01-02","Details",""
"25","Techstars","Localize","1,200,000","seed","2015-10-28","Details",""
"26","Techstars","AdsNative","2,000,000","seed","2014-04-03","Details",""
