"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Flaviar","","seed","2014-09-26","Details",""
"2","Y Combinator","Flexport","65,000,000","venture","2016-09-26","Details",""
"3","Boost VC","Transcense","1,800,000","seed","2016-11-16","Details",""
"4","Y Combinator","Simple Habit","2,500,000","seed","2017-05-09","Details",""
"5","Y Combinator","GrubMarket","20,000,000","venture","2016-08-04","Details",""
"6","Y Combinator","BlueCrew","720,000","seed","2015-06-01","Details",""
"7","Boost VC","Airenvy","2,650,000","venture","2015-01-20","Details",""
"8","Techstars","Morty","3,000,000","seed","2017-05-02","Details",""
"9","Y Combinator","ShipBob","4,000,000","venture","2016-05-18","Details",""
"10","Y Combinator","ShipBob","17,500,000","venture","2017-06-13","Details",""
"11","Y Combinator","KidPass","5,100,000","venture","2017-05-23","Details",""
"12","Seedcamp","FishBrain","30,000,000","venture","2017-04-13","Details",""
"13","Boost VC","Ava","1,800,000","seed","2016-11-16","Details",""
"14","Mergelane","Havenly","20,000","seed","2015-02-02","Details",""
"15","Y Combinator","Flexport","22,100,000","venture","2015-08-06","Details",""
"16","The Alchemist Accelerator","Sourcery","3,000,000","seed","2015-01-29","Details",""
"17","Y Combinator","Virool","12,000,000","venture","2016-04-05","Details",""
"18","500startups","Aircall","8,000,000","venture","2016-09-15","Details",""
"19","Y Combinator","Sourcery","3,000,000","seed","2015-01-29","Details",""
"20","Y Combinator","Unima","1,300,000","seed","2016-03-24","Details",""
