"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Mucker Lab","Panjo","4,600,000","venture","2015-11-12","Details",""
"2","Y Combinator","GrubMarket","2,100,000","seed","2015-01-27","Details",""
"3","500startups","iBillionaire","238,352","seed","2013-05-01","Details",""
"4","500startups","Havenly","20,000","seed","2015-02-02","Details",""
"5","Entrepreneurs Roundtable Accelerator","BespokePost","","seed","2012-01-01","Details",""
"6","500startups","BTCjam","6,100,000","venture","2014-12-24","Details","Dead"
"7","Highline","Granify","1,500,000","seed","2013-11-06","Details",""
"8","500startups","Shippo","2,000,000","seed","2014-09-18","Details",""
"9","Boost VC","Airenvy","2,650,000","venture","2015-01-20","Details",""
"10","Y Combinator","AptDeco","","seed","2014-04-01","Details",""
"11","Y Combinator","Balanced","","seed","2014-04-01","Details","Dead"
"12","Y Combinator","Flexport","65,000,000","venture","2016-09-26","Details",""
"13","Techstars","UsingMiles","","seed","2010-12-01","Details",""
"14","TexDrive","MartMania","500,000","seed","2013-03-25","Details",""
"15","Springboard","Blottr","612,000","venture","2013-02-21","Details",""
"16","Techstars","Codementor","600,000","seed","2014-03-24","Details",""
"17","Entrepreneurs Roundtable Accelerator","ParkingPanda","25,000","seed","2011-06-06","Details","Exited"
"18","DreamIT Ventures","SeatGeek","62,000,000","venture","2015-04-02","Details",""
"19","NYC SeedStart","olapic","15,000,000","venture","2015-06-23","Details","Exited"
"20","500startups","Studypool","1,200,000","seed","2015-03-06","Details",""
"21","Y Combinator","Flexport","22,100,000","venture","2015-08-06","Details",""
"22","Y Combinator","Flaviar","","seed","2014-09-26","Details",""
"23","Y Combinator","GrubMarket","20,000,000","venture","2016-08-04","Details",""
"24","Mergelane","Havenly","20,000","seed","2015-02-02","Details",""
"25","Nxtp.labs","WeHostels","1,200,000","seed","2012-03-18","Details","Exited"
"26","Seedrocket","DeporVillage","","seed","2011-07-01","Details",""
"27","500startups","SidelineSwap","1,500,000","seed","2016-09-21","Details",""
"28","Nxtp.labs","TiendaNube","","seed","2011-10-01","Details",""
"29","Y Combinator","Virool","","seed","2012-07-01","Details",""
"30","Nxtp.labs","Pixowl","","seed","2011-04-01","Details",""
"31","Y Combinator","Virool","12,000,000","venture","2016-04-05","Details",""
