"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Cinemacraft","775,000","seed","2014-02-26","Details",""
"2","Media Camp","Cinemacraft","775,000","seed","2014-02-26","Details",""
"3","Media Camp","Cinemacraft","775,000","seed","2014-02-26","Details",""
"4","Media Camp","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"5","500startups","Cinemacraft","775,000","seed","2014-02-26","Details",""
"6","500startups","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"7","500startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"8","Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"9","Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"10","500startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
