"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","Parachute","4,834,997","venture","2016-05-16","Details",""
"2","Y Combinator","Firebase","1,400,000","seed","2012-05-24","Details","Exited"
"3","Techstars","oneforty","1,980,000","venture","2010-01-11","Details","Exited"
"4","Y Combinator","Codecademy","30,000,000","venture","2016-07-12","Details",""
"5","Springboard","Apiary.io","6,800,000","venture","2015-08-18","Details","Exited"
"6","Y Combinator","Codecademy","5,000,000","convertible_note","2014-04-25","Details",""
"7","Springboard","Apiary.io","1,630,000","seed","2013-09-17","Details","Exited"
"8","Techstars","SmackHigh","1,800,000","convertible_note","2017-03-20","Details",""
"9","Betaspring","Tracelytics","5,200,000","venture","2012-03-22","Details","Exited"
"10","Springboard","Apiary.io","6,000,000","venture","2015-01-22","Details","Exited"
"11","Techstars","SmackHigh","1,650,000","seed","2015-08-19","Details",""
"12","Betaspring","Tracelytics","600,000","seed","2011-11-03","Details","Exited"
"13","Y Combinator","Firebase","5,600,000","venture","2013-06-20","Details","Exited"
