"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Giftbit","","seed","2016-02-26","Details",""
"2","500startups","Intercom","750,000","seed","2012-08-01","Details",""
"3","Techstars","Well Health","2,800,000","seed","2016-11-01","Details",""
"4","Y Combinator","Payable","2,100,000","seed","2015-08-05","Details",""
"5","Techstars","Nestio","1,600,000","seed","2014-12-03","Details",""
"6","Techstars","True Facet","6,000,000","venture","2016-09-20","Details",""
"7","500startups","Intercom","6,000,000","venture","2013-06-01","Details",""
"8","Media Camp","Chute","2,700,000","seed","2012-07-24","Details",""
"9","Y Combinator","Chute","2,700,000","seed","2012-07-24","Details",""
"10","Y Combinator","Snapdocs","3,000,000","seed","2014-03-01","Details",""
"11","Techstars","Nestio","8,000,000","venture","2015-12-01","Details",""
"12","Media Camp","Chute","7,000,000","venture","2013-05-07","Details",""
"13","Y Combinator","Chute","7,000,000","venture","2013-05-07","Details",""
"14","Y Combinator","Payable","2,100,000","seed","2015-08-05","Details",""
"15","Y Combinator","Backtype","1,000,000","seed","2011-03-10","Details","Exited"
"16","Y Combinator","9GAG","2,800,000","seed","2012-07-30","Details",""
"17","Techstars","True Facet","2,700,000","venture","2015-08-22","Details",""
