"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","1DocWay","1,700,000","seed","2015-07-21","Details","Exited"
"2","Imagine K12","Front Row","1,300,000","seed","2014-01-14","Details",""
"3","Y Combinator","Eligible","","seed","2015-01-14","Details",""
"4","Imagine K12","SchoolMint","5,000,000","venture","2016-02-10","Details",""
"5","AngelPad","Pipedrive","2,400,000","seed","2013-09-18","Details",""
"6","Techstars","Cognotion","500,000","seed","2014-12-08","Details",""
"7","Techstars","Edvisor.io","","seed","2014-07-24","Details",""
"8","Portland Incubator Experiment (PIE)","Little Bird","1,723,668","venture","2014-02-14","Details","Exited"
"9","Imagine K12","EdPuzzle","","seed","2014-01-14","Details",""
"10","Matter.","News Deeply","2,500,000","seed","2015-04-01","Details",""
"11","Imagine K12","SchoolMint","2,200,000","seed","2014-09-19","Details",""
"12","Chinaccelerator","Launchpilots","","seed","2014-01-31","Details",""
"13","AngelPad","iDoneThis","","seed","2011-10-01","Details",""
"14","Imagine K12","NoRedInk","6,000,000","venture","2015-02-18","Details",""
