"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","EveryMe","1,500,000","debt_round","2011-10-01","",""
"2","Y Combinator","Custora","","seed","2012-01-05","Details",""
"3","Y Combinator","Indinero","1,200,000","seed","2010-09-10","Details",""
"4","Techstars","Wire","2,250,000","seed","2013-01-01","Details","Dead"
"5","Y Combinator","Opzi","1,000,000","angel","2010-09-01","Details","Dead"
"6","Techstars","ClassPass","12,000,000","venture","2014-09-17","Details",""
"7","Y Combinator","Indinero","7,000,000","venture","2015-02-18","Details",""
"8","Y Combinator","Teespring","1,200,000","angel","2013-04-01","Details",""
"9","Y Combinator","Thalmic Labs (Myo)","","seed","2013-01-01","Details",""
"10","Y Combinator","EasyPost","2,250,000","seed","2014-01-01","Details",""
