"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","MetricStory","1,450,000","seed","2015-12-09","Details",""
"2","Techstars","ParLevel Systems","2,400,000","venture","2014-09-12","Details",""
"3","Techstars","Fashion Metric","1,000,000","seed","2015-01-19","Details",""
"4","Techstars","Callinize","15,800,000","venture","2017-03-27","Details",""
"5","Techstars","Filament Labs","1,000,000","seed","2014-05-22","Details","Exited"
"6","Techstars","Bitfusion","1,450,000","seed","2015-05-05","Details",""
"7","Techstars","Stabilitas Ventures","","seed","2015-01-12","Details",""
"8","Techstars","ParLevel Systems","2,498,201","venture","2015-11-23","Details",""
"9","Techstars","HelpSocial","","seed","2014-01-01","Details",""
"10","Techstars","ParLevel Systems","830,313","venture","2013-08-28","Details",""
