"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","MoPub","6,500,000","venture","2011-07-12","Details","Exited"
"2","Y Combinator","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"3","Y Combinator","Heroku","3,000,000","venture","2008-05-08","Details","Exited"
"4","Y Combinator","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"5","Y Combinator","Heroku","10,000,000","venture","2010-05-10","Details","Exited"
"6","AngelPad","MoPub","","seed","2010-12-05","Details","Exited"
"7","Springboard","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"8","Springboard","PagerDuty","10,700,000","venture","2013-01-31","Details",""
"9","Y Combinator","PagerDuty","27,200,000","venture","2014-07-31","Details",""
"10","Springboard","PagerDuty","1,900,000","seed","2010-09-29","Details",""
"11","Y Combinator","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"12","Springboard","PagerDuty","43,800,000","venture","2017-04-13","Details",""
"13","AngelPad","MoPub","12,000,000","venture","2012-09-20","Details","Exited"
"14","Imagine K12","Front Row","5,300,000","venture","2015-08-12","Details",""
"15","Y Combinator","Kirkland North","225,000","seed","2008-10-10","Details","Dead"
"16","Y Combinator","Smyte","4,000,000","venture","2017-03-28","Details",""
"17","Y Combinator","HelloChair","874,999","venture","2010-04-12","Details","Dead"
"18","Y Combinator","Smyte","2,250,000","seed","2015-06-23","Details",""
"19","Y Combinator","Grouper","","seed","2012-05-30","Details",""
