"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Findit","","debt_financing","2013-08-08","Details",""
"2","Imagine K12","NoRedInk","2,000,000","seed","2013-08-21","Details",""
"3","Techstars","Tempo","3,200,000","venture","2013-10-09","Details","Dead"
"4","The Brandery","Pingage","3,100,000","venture","2014-01-21","Details",""
"5","Techstars","Sequr","1,750,000","seed","2017-01-17","Details",""
"6","Techstars","LogicGate","1,900,000","seed","2016-12-01","Details",""
"7","Y Combinator","FarmLogs","4,000,000","venture","2014-01-15","Details",""
"8","Excelerate Labs","Food Genius","1,000,000","venture","2013-09-17","Details","Exited"
"9","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"10","Techstars","PartySlate","1,600,000","venture","2017-02-24","Details",""
"11","Techstars","PartySlate","1,000,000","seed","2015-10-08","Details",""
"12","Y Combinator","FarmLogs","10,000,000","venture","2014-12-17","Details",""
"13","Y Combinator","FarmLogs","22,000,000","venture","2017-01-11","Details",""
"14","Y Combinator","ShipBob","17,500,000","venture","2017-06-13","Details",""
"15","Y Combinator","FarmLogs","1,000,000","seed","2013-01-25","Details",""
"16","gener8tor","Tiz","1,350,000","seed","2016-12-21","Details",""
"17","Excelerate Labs","Food Genius","1,200,000","venture","2012-09-11","Details","Exited"
"18","Excelerate Labs","Tap.Me","3,200,000","venture","2012-03-12","Details","Exited"
"19","Techstars","SimpleRelevance","2,000,000","venture","2013-05-23","Details","Exited"
"20","The Brandery","Strap","1,200,000","seed","2014-12-02","Details",""
