"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Bridge","1,400,000","seed","2012-01-05","Details",""
"2","Y Combinator","Mattermark","400,000","seed","2013-07-01","Details",""
"3","Y Combinator","Realm","1,900,000","seed","2011-06-01","Details",""
"4","Y Combinator","Hipmunk","20,000,000","venture","2014-05-30","Details","Exited"
"5","Y Combinator","Zencoder","2,000,000","venture","2011-04-12","Details","Exited"
"6","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"7","Y Combinator","Heroku","10,000,000","venture","2010-05-10","Details","Exited"
"8","Y Combinator","WePay","10,000,000","venture","2012-05-03","Details",""
"9","Y Combinator","NowJS","1,400,000","seed","2012-01-05","Details",""
"10","Y Combinator","Amiato","2,000,000","seed","2013-03-15","Details","Exited"
"11","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"12","Y Combinator","Vastrm","1,000,000","seed","2013-08-29","Details",""
"13","Y Combinator","DailyBooth","6,000,000","venture","2011-03-08","Details","Exited"
"14","Y Combinator","Hipmunk","4,200,000","venture","2011-01-25","Details","Exited"
"15","Y Combinator","Wit.ai","3,000,000","seed","2014-10-15","Details","Exited"
"16","Y Combinator","Chirply","1,100,000","seed","2011-04-07","Details",""
"17","Y Combinator","Hipmunk","15,000,000","venture","2012-06-12","Details","Exited"
