"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AlphaLab","Shoefitr","30,000","venture","2010-05-31","Details","Exited"
"2","AlphaLab","The Resumator","2,100,000","venture","2012-10-30","Details",""
"3","AlphaLab","Insurance Zebra","","seed","2012-06-10","Details",""
"4","AlphaLab","Aurochs Brewing Company","200,000","seed","2013-11-21","Details",""
"5","AlphaLab","Collected","100,000","convertible_note","2014-03-17","Details",""
"6","AlphaLab","Wing Ma'am","50,000","seed","2014-04-17","Details",""
"7","AlphaLab","ComVibe","","seed","2012-05-24","Details",""
"8","AlphaLab","The Resumator","700,000","angel","2011-05-06","Details",""
"9","AlphaLab","Digital Dream Labs","","seed","2013-06-26","Details",""
"10","AlphaLab","AccelDiagnostics","","convertible_note","2015-01-14","Details",""
"11","AlphaLab","Shoefitr","1,200,000","venture","2011-10-28","Details","Exited"
"12","AlphaLab","AutoRef","850,000","seed","2013-04-12","Details","Dead"
"13","AlphaLab","Bueda","100,000","venture","2010-07-01","Details","Dead"
"14","Y Combinator","NetBeez","100,000","convertible_note","2014-07-07","Details",""
"15","AlphaLab","FutureDerm","150,000","seed","2012-12-21","Details",""
"16","AlphaLab","FutureDerm","40,000","seed","2014-05-01","Details",""
"17","AlphaLab","ComVibe","","seed","2013-01-24","Details",""
"18","AlphaLab","Hub19","","seed","2012-02-22","Details","Dead"
"19","AlphaLab","PHRQL","100,000","seed","2014-10-23","Details",""
"20","AlphaLab","ComVibe","","seed","2014-02-25","Details",""
"21","AlphaLab","Cloudfab","","seed","2011-06-30","Details",""
"22","AlphaLab","NoWait","10,000,000","venture","2014-05-20","Details","Exited"
"23","AlphaLab","DeviceKnit","25,000","seed","2010-01-26","Details","Dead"
"24","AlphaLab","NoWait","2,000,000","venture","2012-08-28","Details","Exited"
"25","AlphaLab","Cloudfab","25,000","seed","2009-08-01","Details",""
"26","AlphaLab","Treatspace","150,000","seed","2014-01-27","Details",""
"27","AlphaLab","SolePower","","seed","2015-05-26","Details",""
"28","AlphaLab","Hub19","","seed","2013-02-06","Details","Dead"
"29","AlphaLab","AthleteTrax","","seed","2015-02-03","Details",""
"30","Y Combinator","NetBeez","100,000","convertible_note","2013-11-10","Details",""
"31","InnoSpring","DewMobile","20,000,000","venture","2014-06-06","Details",""
"32","AlphaLab","The Resumator","50,000","seed","2009-12-10","Details",""
"33","AlphaLab","HeadRightGames","","seed","2013-04-30","Details",""
"34","AlphaLab","Tunessence","","seed","2012-12-14","Details",""
"35","AlphaLab","AccelDiagnostics","","seed","2013-04-25","Details",""
"36","AlphaLab","SolePower","","seed","2013-11-21","Details",""
"37","AlphaLab","HeadRightGames","","seed","2012-08-17","Details",""
"38","AlphaLab","Aurochs Brewing Company","50,000","convertible_note","2015-05-07","Details",""
"39","AlphaLab","AthleteTrax","","seed","2014-03-06","Details",""
"40","AlphaLab","Tunessence","","seed","2014-02-14","Details",""
"41","AlphaLab","FutureDerm","327,000","venture","2013-03-01","Details",""
"42","Techstars","CDL Warrior","","seed","2014-06-10","Details",""
"43","AlphaLab","Sonya Labs","25,000","seed","2008-06-01","Details","Dead"
