"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Portland Seed Fund","Superbly","1,000,000","seed","2013-04-09","Details",""
"2","Techstars","Lua Technologies","2,500,000","seed","2012-07-01","Details",""
"3","Techstars","Keen.io","2,350,000","seed","2013-10-23","Details",""
"4","Techstars","PivotDesk","3,235,000","seed","2012-09-24","Details","Exited"
"5","Techstars","Glider","1,000,000","seed","2013-04-09","Details","Exited"
"6","Techstars","Moveline","1,500,000","seed","2012-10-31","Details",""
"7","AngelPad","Pogoseat","750,000","seed","2013-09-01","Details",""
"8","Techstars","TrueAbility","2,000,000","venture","2013-07-29","Details",""
"9","Portland Seed Fund","Superbly","","seed","2012-03-07","Details",""
"10","Y Combinator","Statwing","","angel","2014-01-30","Details","Exited"
"11","Techstars","GoChime","1,750,000","angel","2014-03-01","Details","Exited"
"12","Techstars","Tempo","750,000","seed","2012-05-01","Details","Dead"
"13","Techstars","Glider","","seed","2012-03-07","Details","Exited"
"14","Techstars","Cloud 66","350,000","seed","2014-01-01","Details",""
