"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Code for America Accelerator","Captricity","","undisclosed","2012-09-24","Details",""
"2","500startups","Neighbor.ly","175,000","grant","2013-06-18","Details",""
"3","Y Combinator","CrowdMed","1,200,000","seed","2013-06-06","Details",""
"4","Code for America Accelerator","Captricity","2,400,000","venture","2013-04-01","Details",""
"5","Y Combinator","OwnLocal","777,000","seed","2011-08-01","Details",""
"6","Y Combinator","Submittable","1,300,000","venture","2015-12-11","Details",""
"7","Y Combinator","One Degree","1,700,000","venture","2017-01-11","Details",""
"8","Y Combinator","Perfect Audience","1,100,000","seed","2012-10-05","Details","Exited"
"9","Techstars","Whipsmart","5,956,174","venture","2014-09-24","Details",""
"10","Techstars","LiveStories","3,000,000","seed","2016-09-09","Details",""
"11","Y Combinator","CrowdMed","765,000","seed","2015-09-28","Details",""
