"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Telluride Venture Accelerator","LIFEDOJO","5,100,000","venture","2017-02-07","Details",""
"2","Blueprint Health","Decisive Health","","venture","2016-03-10","Details",""
"3","Telluride Venture Accelerator","LIFEDOJO","900,000","seed","2015-03-23","Details",""
"4","Blueprint Health","Moving Analytics","1,100,000","seed","2016-06-01","Details",""
"5","The Alchemist Accelerator","sense.ly","2,500,000","venture","2015-06-19","Details",""
"6","500startups","QueueDr","1,200,000","venture","2016-09-28","Details",""
"7","500startups","DecisiveHealth","","venture","2016-03-10","Details",""
"8","Blueprint Health","Moving Analytics","1,400,000","seed","2016-06-01","Details",""
"9","DreamIT Ventures","DecisiveHealth","","venture","2016-03-10","Details",""
"10","500startups","Lab Sensor Solutions","","seed","2016-03-05","Details",""
