"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","Panna","1,350,000","seed","2013-05-06","Details",""
"2","LaunchpadLA","Tradesy","1,500,000","venture","2012-10-24","Details",""
"3","LaunchpadLA","Big Frame","3,400,000","seed","2012-06-27","Details","Exited"
"4","LaunchpadLA","ChowNow","2,463,690","venture","2012-09-28","Details",""
"5","LaunchpadLA","JobSync","1,634,000","venture","2011-11-15","Details",""
"6","FounderFuel","Listn","500,000","seed","2013-11-05","Details",""
"7","Y Combinator","DroneBase","","seed","2015-04-08","Details",""
"8","LaunchpadLA","Atlas","700,000","seed","2012-12-01","Details",""
"9","LaunchpadLA","Preact","750,000","seed","2013-03-01","Details","Exited"
"10","LaunchpadLA","Parachute","800,000","seed","2014-03-21","Details",""
"11","LaunchpadLA","Lettuce","2,100,000","seed","2012-10-16","Details","Exited"
"12","LaunchpadLA","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"13","LaunchpadLA","Listn","500,000","seed","2013-11-05","Details","Exited"
"14","K5Launch","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"15","The Alchemist Accelerator","3Ten8","1,670,000","seed","2015-04-15","Details",""
"16","LaunchpadLA","Triptrotting","300,000","seed","2011-01-01","Details",""
"17","LaunchpadLA","Tuition.io","1,000,000","angel","2013-02-26","Details",""
