"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Cue","700,000","seed","2010-08-31","Details","Exited"
"2","Techstars","ChatID","2,000,000","seed","2012-01-01","Details",""
"3","Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"4","Y Combinator","YC W15 Stealth - #108","7,820,000","venture","2015-04-30","Details",""
"5","Techstars","Dispatch","965,000","seed","2011-11-10","Details",""
"6","Y Combinator","Payable","2,100,000","seed","2015-08-05","Details",""
"7","Y Combinator","YC W15 Stealth - #108","968,000","seed","2014-09-18","Details",""
"8","500startups","central.ly","4,000,000","venture","2014-05-16","Details",""
"9","Techstars","10Sheet","1,000,000","undisclosed","2014-01-30","Details",""
"10","Techstars","Ranku","650,000","seed","2013-11-10","Details","Exited"
"11","Y Combinator","Compose","417,000","seed","2011-06-24","Details","Exited"
"12","Techstars","Spoon University","2,000,000","seed","2015-07-14","Details","Exited"
"13","Y Combinator","Tutorspree","1,000,000","seed","2011-12-20","Details","Exited"
"14","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"15","Techstars","Poptip","638,000","seed","2012-03-01","Details","Exited"
"16","LaunchpadLA","Panna","1,350,000","seed","2013-05-06","Details",""
"17","Startupbootcamp","BalconyTV","750,000","venture","2012-07-27","Details","Exited"
"18","Techstars","Poptip","1,300,000","convertible_note","2013-06-01","Details","Exited"
"19","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"20","Y Combinator","Hyperink","1,200,000","venture","2011-10-27","Details",""
"21","DreamIT Ventures","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"22","Techstars","10Sheet","2,000,000","seed","2013-07-16","Details",""
"23","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
