"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Ordr.in","650,000","seed","2011-10-18","Details","Dead"
"2","Techstars","Ambassador","18,000","seed","2011-07-01","Details",""
"3","Y Combinator","Lob","2,400,000","seed","2013-11-04","Details",""
"4","Techstars","Take Comics","3,800,000","venture","2011-01-25","Details","Exited"
"5","Y Combinator","Scentbird","2,800,000","seed","2016-03-30","Details",""
"6","Y Combinator","Paperspace","4,000,000","seed","2016-10-04","Details",""
"7","Y Combinator","Lob","","venture","2016-05-12","Details",""
"8","Techstars","Ambassador","2,350,000","venture","2015-06-15","Details",""
"9","The Brandery","RoadTrippers","250,000","seed","2012-06-11","Details",""
"10","Techstars","Smart Toy","2,500,000","seed","2012-09-24","Details","Exited"
"11","Y Combinator","Final","1,000,000","seed","2015-01-27","Details",""
"12","Y Combinator","ProductHunt","880,000","seed","2014-08-21","Details","Exited"
"13","Boost VC","Mirror","8,800,000","venture","2015-06-03","Details",""
"14","Y Combinator","WorkLife","120,000","seed","2015-01-01","Details","Exited"
"15","Y Combinator","Paperspace","","seed","2015-03-15","Details",""
"16","Techstars","Final","1,000,000","seed","2015-01-27","Details",""
"17","Y Combinator","Luka","4,420,000","venture","2016-04-08","Details",""
"18","Y Combinator","VIVE","2,300,000","seed","2016-02-16","Details",""
"19","Bizdom","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"20","Techstars","Ubooly","2,500,000","seed","2012-09-24","Details","Exited"
"21","Techstars","Nestio","1,500,000","seed","2013-07-09","Details",""
