"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","WePay","1,650,000","venture","2009-12-23","Details",""
"2","Y Combinator","HomeJoy","38,000,000","venture","2013-12-05","Details","Dead"
"3","Techstars","Lystable","11,000,000","venture","2016-06-28","Details",""
"4","Techstars","GymPact","1,550,000","seed","2013-12-17","Details",""
"5","Y Combinator","Sift Science","1,600,000","seed","2011-09-01","Details",""
"6","Y Combinator","CardPool","","seed","2010-01-01","Details","Exited"
"7","Y Combinator","Listia","1,750,000","seed","2011-04-19","Details",""
"8","Y Combinator","WePay","15,000,000","venture","2014-01-16","Details",""
"9","Techstars","Lystable","11,000,000","venture","2016-06-28","Details",""
"10","Y Combinator","Mixpanel","10,250,000","venture","2012-05-10","Details",""
"11","Y Combinator","Mixpanel","1,250,000","seed","2011-05-27","Details",""
"12","Y Combinator","Mixpanel","500,000","angel","2010-02-11","Details",""
"13","Y Combinator","HomeJoy","24,490,945","venture","2013-10-01","Details","Dead"
"14","Y Combinator","HomeJoy","1,700,000","seed","2013-03-05","Details","Dead"
"15","Y Combinator","Celery","2,300,000","seed","2014-02-05","Details","Exited"
"16","Y Combinator","Sift Science","18,000,000","venture","2014-05-14","Details",""
"17","Seedcamp","Transferwise","1,300,000","seed","2012-04-17","Details",""
"18","Y Combinator","ClearTax","1,300,000","seed","2016-04-26","Details",""
