"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","UniqueSound","","seed","2014-09-01","Details",""
"2","Y Combinator","Pulpix","","seed","2014-09-01","Details",""
"3","Techstars","Gorgias","100,000","seed","2015-05-01","Details",""
"4","Techstars","Streamroot","","non_equity_assistance","2013-11-01","Details",""
"5","Techstars","Stride.ai","25,000","seed","2015-05-01","Details",""
"6","Le Camping","Fleex","","non_equity_assistance","2012-05-01","Details","Exited"
"7","Y Combinator","Birdly","","seed","2014-09-01","Details",""
"8","Le Camping","Jellynote","","non_equity_assistance","2012-05-01","Details",""
"9","Le Camping","PricingAssistant","","non_equity_assistance","2013-02-01","Details",""
"10","Le Camping","Augment","","non_equity_assistance","2012-05-01","Details",""
