"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Amplify.LA","Vadio","18,000","seed","2012-10-08","Details",""
"2","Portland Incubator Experiment (PIE)","VendScreen","32,000,000","venture","2016-01-25","Details","Exited"
"3","Portland Incubator Experiment (PIE)","Revisu","18,000","seed","2012-01-20","Details",""
"4","Portland Incubator Experiment (PIE)","Code Scouts","","seed","2012-10-08","Details",""
"5","Portland Incubator Experiment (PIE)","Vadio","18,000","seed","2012-10-08","Details",""
"6","Portland Incubator Experiment (PIE)","DailyPath","","seed","2011-09-21","Details",""
"7","Portland Incubator Experiment (PIE)","Orchestrate","20,000","seed","2013-07-23","Details","Exited"
"8","Portland Incubator Experiment (PIE)","MoPix","18,000","seed","2012-01-20","Details",""
"9","Portland Incubator Experiment (PIE)","Smart Mocha","18,000","seed","2013-10-11","Details","Dead"
"10","Portland Incubator Experiment (PIE)","Stand In","","seed","2013-10-11","Details",""
"11","Portland Incubator Experiment (PIE)","Little Bird","18,000","seed","2012-10-06","Details","Exited"
"12","500startups","MoPix","18,000","seed","2012-01-20","Details",""
"13","Portland Incubator Experiment (PIE)","Cloudability","18,000","seed","2012-01-20","Details",""
"14","Techstars","Cloudability","18,000","seed","2012-01-20","Details",""
"15","Portland Incubator Experiment (PIE)","VendScreen","","seed","2012-01-17","Details","Exited"
"16","Portland Incubator Experiment (PIE)","Lytics","","seed","2012-10-08","Details",""
"17","Portland Incubator Experiment (PIE)","Cloneless","20,000","seed","2013-10-11","Details",""
"18","Portland Incubator Experiment (PIE)","AppThwack","18,000","seed","2012-10-08","Details","Exited"
"19","Portland Seed Fund","Cloudability","18,000","seed","2012-01-20","Details",""
"20","Portland Incubator Experiment (PIE)","Teak (formerly Carrot)","20,000","seed","2013-10-11","Details",""
"21","Techstars","Stand In","","seed","2013-10-11","Details",""
"22","Portland Incubator Experiment (PIE)","Stublisher","","seed","2012-10-08","Details",""
