"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Boost VC","Gliph","340,000","seed","2013-12-18","Details","Dead"
"2","Boost VC","Align Commerce","12,500,000","venture","2015-11-17","Details",""
"3","Boost VC","BitPagos","600,000","seed","2014-01-29","Details",""
"4","Y Combinator","BitAccess","1,000,000","seed","2014-07-16","Details",""
"5","Techstars","Filament","775,000","venture","2016-01-19","Details",""
"6","Boost VC","Align Commerce","1,500,000","seed","2015-04-29","Details",""
"7","Portland Seed Fund","Gliph","340,000","seed","2013-12-18","Details","Dead"
"8","Boost VC","BitPagos","1,200,000","seed","2015-05-26","Details",""
"9","Techstars","Filament","5,000,000","venture","2015-05-13","Details",""
"10","500startups","BTCjam","6,100,000","venture","2014-12-24","Details","Dead"
