"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Vidyard","1,650,000","venture","2011-11-17","Details",""
"2","Y Combinator","MemSQL","2,100,000","seed","2011-07-12","Details",""
"3","Y Combinator","Women.com","1,750,000","seed","2014-08-01","Details",""
"4","Y Combinator","Exec","3,300,000","seed","2012-05-25","Details","Exited"
"5","Y Combinator","DoorDash","2,400,000","angel","2013-09-30","Details",""
"6","Y Combinator","RethinkDB","1,200,000","seed","2010-04-02","Details","Exited
						Dead"
"7","Y Combinator","Iris Automations","1,500,000","venture","2017-01-18","Details",""
"8","Y Combinator","EquipmentShare","2,100,000","seed","2015-05-06","Details",""
"9","Y Combinator","Rigetti Computing","2,500,000","seed","2014-04-15","Details",""
"10","Y Combinator","Casetext","1,800,000","seed","2013-10-01","Details",""
"11","Y Combinator","Dr Chrono","675,000","seed","2011-07-14","Details",""
"12","Y Combinator","JustRide","3,000,000","venture","2016-11-07","Details",""
"13","Y Combinator","Fixed","650,000","seed","2015-02-03","Details","Exited"
"14","Y Combinator","BlueCrew","2,500,000","seed","2015-09-01","Details",""
"15","Y Combinator","MyVR","1,400,000","seed","2012-09-28","Details",""
"16","Y Combinator","Validere","2,000,000","seed","2016-09-07","Details",""
"17","Y Combinator","Rocketrip","3,000,000","venture","2014-07-14","Details",""
"18","Y Combinator","Weebly","650,000","angel","2007-05-01","Details",""
"19","Y Combinator","Caviar","13,000,000","venture","2014-04-28","Details","Exited"
"20","Y Combinator","SlidePay","1,300,000","seed","2012-06-25","Details","Dead"
"21","Y Combinator","DocTalk","2,600,000","seed","2017-04-10","Details",""
"22","Y Combinator","Science Exchange","25,000,000","venture","2016-03-23","Details",""
"23","Y Combinator","The Mednet","1,300,000","seed","2017-07-01","Details",""
"24","Y Combinator","Supr Daily","100,000,000","venture","2017-05-30","Details",""
"25","Y Combinator","Cleanly","2,300,000","seed","2015-05-13","Details",""
"26","Y Combinator","MailGun","1,100,000","seed","2011-05-13","Details",""
"27","Y Combinator","Starcity","3,800,000","seed","2016-12-31","Details",""
"28","Y Combinator","Kimono","5,000,000","seed","2016-02-15","Details","Exited"
"29","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"30","Y Combinator","BufferBox","1,000,000","seed","2012-08-01","Details","Exited"
"31","Y Combinator","Perfect Audience","1,100,000","seed","2012-10-05","Details","Exited"
"32","Y Combinator","Clever","3,000,000","seed","2012-10-22","Details",""
"33","Y Combinator","Iris Automations","","seed","2016-08-31","Details",""
"34","Y Combinator","ZeroCater","1,500,000","venture","2011-08-10","Details",""
"35","Y Combinator","Wheelys Cafe","2,500,000","seed","2016-04-10","Details",""
"36","Y Combinator","Circle Medical","2,900,000","seed","2015-11-20","Details",""
"37","Y Combinator","Seed","5,000,000","venture","2015-10-24","Details",""
"38","Y Combinator","CloudMedX","6,600,000","seed","2015-05-01","Details",""
"39","Y Combinator","Instacart","8,500,000","venture","2013-04-04","Details",""
"40","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"41","The Alchemist Accelerator","Rigetti Quantum Computing","2,500,000","seed","2014-04-15","Details",""
"42","Y Combinator","Transcriptic","8,500,000","venture","2015-02-19","Details",""
"43","Y Combinator","Pebble Technology","375,000","angel","2011-04-18","Details","Exited"
"44","Y Combinator","Framed Data","2,000,000","seed","2014-12-11","Details","Exited"
"45","Y Combinator","PlanGrid","1,100,000","seed","2012-05-29","Details",""
"46","Y Combinator","VIVE","2,300,000","seed","2016-02-16","Details",""
"47","Y Combinator","Checkr","9,000,000","venture","2014-10-14","Details",""
"48","Y Combinator","Hipmunk","1,000,000","seed","2010-10-05","Details","Exited"
"49","Y Combinator","Unima","1,300,000","seed","2016-03-24","Details",""
