"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Pijon","","seed","2013-11-03","Details",""
"2","500startups","KiteReaders","","convertible_note","2013-07-22","Details",""
"3","500startups","Cleanify","","seed","2014-11-01","Details",""
"4","The Alchemist Accelerator","DeltaBid","","venture","2016-03-01","Details",""
"5","500startups","Datatron","2,700,000","seed","2017-07-11","Details",""
"6","500startups","Shippo","2,000,000","seed","2014-09-18","Details",""
"7","500startups","Shippo","25,000","seed","2014-01-13","Details",""
"8","Boost VC","Swyft","2,500,000","venture","2017-05-03","Details",""
"9","Boost VC","Swyft","","venture","2016-08-23","Details",""
"10","500startups","Shippo","","seed","2013-11-26","Details",""
"11","Techstars","Roximity","","convertible_note","2015-08-25","Details","Exited"
"12","The Alchemist Accelerator","ShoppinPal","500,000","seed","2014-06-10","Details",""
"13","Y Combinator","Virool","","seed","2012-07-01","Details",""
"14","Y Combinator","Virool","","convertible_note","2012-05-09","Details",""
"15","Y Combinator","Lynks","120,000","seed","2015-11-01","Details",""
"16","500startups","Float","1,000,000","convertible_note","2015-09-01","Details",""
"17","Nxtp.labs","FormaFina","2,165,000","seed","2015-06-04","Details",""
"18","Techstars","Kepler Communications","5,000,000","seed","2016-08-09","Details",""
"19","The Alchemist Accelerator","ContextSmith","","venture","2016-10-07","Details",""
"20","Nxtp.labs","FormaFina","1,400,000","seed","2013-09-23","Details",""
"21","Y Combinator","Truebill","1,550,000","seed","2016-06-27","Details",""
"22","Y Combinator","WeFunder","","convertible_note","2014-06-30","Details",""
"23","Y Combinator","Health Sherpa","","seed","2013-08-20","Details",""
"24","Prosper Capital Accelerator","KiteReaders","","convertible_note","2013-07-22","Details",""
"25","Y Combinator","Your Mechanic","","seed","2010-08-30","Details",""
"26","500startups","Datatron","2,700,000","seed","2017-07-11","Details",""
"27","The Alchemist Accelerator","ShoppinPal","1,070,000","venture","2016-07-14","Details",""
"28","Media Camp","Matcha","","seed","2011-08-24","Details","Exited"
"29","Y Combinator","Kamcord","7,600,000","venture","2014-05-01","Details",""
"30","Amplify.LA","TheBouqs","6,000,000","venture","2014-06-26","Details",""
"31","Nxtp.labs","FormaFina","","convertible_note","2012-03-31","Details",""
"32","Y Combinator","Skylights","1,300,000","seed","2017-01-10","Details",""
"33","500startups","Pijon","","seed","2014-07-22","Details",""
"34","Y Combinator","Virool","6,620,000","seed","2013-02-14","Details",""
"35","500startups","Pijon","","convertible_note","2014-05-06","Details",""
