"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Flirtey","","venture","2015-09-07","Details",""
"2","Techstars","ThinkNear","1,630,000","venture","2011-08-13","Details","Exited"
"3","New York Digital Health Accelerator","noom","7,000,000","venture","2014-02-04","Details",""
"4","New York Digital Health Accelerator","noom","2,800,000,000","venture","2012-12-18","Details",""
"5","Y Combinator","MatterPort","5,600,000","venture","2013-03-07","Details",""
"6","Y Combinator","MatterPort","35,000,000","venture","2015-06-25","Details",""
"7","Techstars","Placemeter","6,000,000","venture","2014-09-18","Details","Exited"
"8","Y Combinator","Zesty","7,200,000","venture","2015-05-10","Details",""
"9","Y Combinator","Heyzap","4,300,000","venture","2012-12-01","Details","Exited"
"10","New York Digital Health Accelerator","noom","16,149,899","venture","2015-04-01","Details",""
"11","Y Combinator","Plivo","1,750,000","seed","2012-12-04","Details",""
"12","Y Combinator","Cruise","2,000,000","convertible_note","2015-11-18","Details","Exited"
"13","Y Combinator","MatterPort","16,000,000","venture","2014-07-07","Details",""
"14","Techstars","Placemeter","1,600,000","venture","2016-06-30","Details","Exited"
"15","Microsoft Ventures Accelerator Tel Aviv","MediSafe","14,500,000","venture","2017-03-01","Details",""
"16","Y Combinator","Flirtey","16,000,000","venture","2017-01-18","Details",""
"17","Startmate","Flirtey","","venture","2015-09-07","Details",""
"18","Startmate","Flirtey","16,000,000","venture","2017-01-18","Details",""
"19","New York Digital Health Accelerator","noom","","seed","2011-12-01","Details",""
"20","SparkLabs","MangoPlate","6,100,000","venture","2015-06-30","Details",""
