"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","WebCurfew","100,000","convertible_note","2013-05-31","Details",""
"2","Techstars","Nebulab","118,000","convertible_note","2015-01-21","Details",""
"3","Techstars","Rival Theory","100,000","convertible_note","2014-03-19","Details",""
"4","Techstars","eRated","100,000","convertible_note","2014-04-14","Details",""
"5","Techstars","Everpath","1,100,000","seed","2013-11-19","Details",""
"6","500startups","Reesio","207,500","seed","2015-07-16","Details","Exited"
"7","Techstars","Wunder","100,000","convertible_note","2014-07-18","Details",""
"8","Techstars","Testlio","213,000","seed","2013-08-05","Details",""
"9","Techstars","Localize","100,000","convertible_note","2015-01-28","Details",""
"10","Techstars","Gloss Genius","100,000","convertible_note","2015-09-24","Details",""
"11","Techstars","Nexercise","250,000","seed","2013-05-28","Details",""
"12","Techstars","Hollerback","100,000","convertible_note","2014-03-18","Details",""
"13","Techstars","AdYapper","100,000","convertible_note","2013-04-03","Details",""
"14","Techstars","Lightboard","118,000","convertible_note","2015-08-19","Details",""
"15","Techstars","ROCKI","400,000","convertible_note","2014-08-01","Details",""
"16","Techstars","Navut","100,000","convertible_note","2016-02-26","Details",""
"17","Techstars","Knyttan","100,000","convertible_note","2014-12-02","Details",""
"18","Techstars","Bamba","1,100,000","seed","2017-02-14","Details",""
"19","Techstars","Burpy","100,000","convertible_note","2014-06-16","Details",""
"20","Techstars","Synack","","angel","2013-02-25","Details",""
"21","Techstars","Drive Spotter","100,000","convertible_note","2016-06-17","Details",""
"22","Techstars","Kandidly","100,000","convertible_note","2016-02-01","Details",""
"23","Techstars","LogicGate","100,000","convertible_note","2016-06-29","Details",""
"24","Techstars","HYP3R","450,000","convertible_note","2015-08-10","Details",""
"25","Chinaccelerator","Appfuel","200,000","convertible_note","2013-07-16","Details","Exited"
"26","Techstars","True Facet","4,310,000","seed","2014-08-01","Details",""
"27","Techstars","Big Data for Humans","2,000,000","convertible_note","2016-10-10","Details",""
"28","Techstars","Rally","100,000","convertible_note","2016-06-17","Details",""
"29","Techstars","FaithStreet","100,000","convertible_note","2012-04-05","Details",""
"30","Techstars","Fairwaves","510,000","convertible_note","2014-08-21","Details",""
"31","Techstars","Provender","118,000","convertible_note","2015-07-01","Details",""
"32","Techstars","Tapglue","100,000","convertible_note","2016-03-18","Details","Exited"
"33","Techstars","Mycroft","20,000","angel","2016-02-23","Details",""
"34","gener8tor","Passage","750,000","venture","2016-05-26","Details",""
"35","Techstars","Fashion Metric","418,000","convertible_note","2014-06-16","Details",""
"36","Techstars","PillPack","550,000","seed","2013-04-01","Details",""
"37","Techstars","Kepler Communications","100,000","convertible_note","2016-02-26","Details",""
"38","Techstars","MadKudu","118,000","convertible_note","2015-06-19","Details",""
"39","Techstars","Mapkin","368,000","convertible_note","2014-01-21","Details","Exited"
"40","Techstars","PlanSnap","100,000","convertible_note","2016-10-28","Details",""
"41","Techstars","BookingMarkets","","convertible_note","2014-07-28","Details",""
"42","Techstars","Revio","120,000","convertible_note","2015-07-08","Details",""
"43","Techstars","Classics&Exotics","120,000","seed","2015-06-09","Details",""
"44","Techstars","Danger!Awesome","100,000","convertible_note","2016-02-26","Details",""
"45","Techstars","Mentio Technologies","118,000","convertible_note","2015-08-10","Details","Exited"
"46","Techstars","Stationfy","100,000","convertible_note","2016-06-29","Details",""
"47","Techstars","Yosko","100,000","convertible_note","2016-03-31","Details",""
"48","Techstars","Libboo","","seed","2012-01-24","Details",""
"49","Techstars","Leka","100,000","convertible_note","2016-03-07","Details",""
"50","Techstars","adHawk","100,000","convertible_note","2015-06-23","Details",""
"51","Techstars","Edify","118,000","convertible_note","2015-06-23","Details",""
"52","Y Combinator","LeanMarket","100,000","convertible_note","2013-04-12","Details",""
"53","Y Combinator","Final","100,000","convertible_note","2014-07-24","Details",""
"54","Techstars","Tangiblee","100,000","convertible_note","2014-06-16","Details",""
"55","Techstars","Netra","500,000","convertible_note","2015-08-03","Details",""
"56","Techstars","Clutch Prep","100,000","convertible_note","2014-06-02","Details",""
"57","500startups","Metadata","300,000","convertible_note","2015-12-24","Details",""
"58","Techstars","ecoVent","100,000","convertible_note","2014-01-27","Details",""
"59","Techstars","DataBlade","118,000","convertible_note","2015-07-27","Details",""
"60","Boost VC","AppFuel","200,000","convertible_note","2013-07-16","Details","Exited"
"61","Techstars","Elegus Technologies","100,000","convertible_note","2015-07-08","Details",""
"62","Techstars","Inscope Medical Solutions","500,000","convertible_note","2016-06-09","Details",""
"63","Techstars","Codeship","300,000","convertible_note","2013-03-01","Details",""
"64","Techstars","Pilot","775,000","convertible_note","2015-01-28","Details",""
"65","Techstars","Lua Technologies","","seed","2012-03-01","Details",""
"66","Techstars","TradingView","","seed","2013-10-13","Details",""
"67","Techstars","Narvii","100,000","convertible_note","2014-01-31","Details",""
"68","Techstars","Keymetrics","100,000","convertible_note","2015-02-12","Details",""
"69","Techstars","Pathgather","100,000","convertible_note","2014-03-20","Details",""
"70","Techstars","Indico","159,000","convertible_note","2014-08-18","Details",""
"71","Techstars","Create","100,000","convertible_note","2016-06-23","Details",""
"72","Techstars","Octi","100,000","convertible_note","2016-10-07","Details",""
"73","Techstars","MAX","100,000","convertible_note","2015-09-29","Details",""
"74","500startups","GymHit","650,000","convertible_note","2015-07-05","Details",""
"75","500startups","Baloonr","50,000","seed","2016-02-26","Details",""
"76","Techstars","MakersKit","1,503,000","seed","2014-07-01","Details",""
"77","Techstars","Apptentive","100,000","convertible_note","2012-08-01","Details",""
"78","Techstars","Beam","100,000","convertible_note","2016-03-14","Details","Exited"
"79","Techstars","Casabots","100,000","convertible_note","2016-02-19","Details",""
"80","Techstars","ResolutionTube","118,000","seed","2013-08-05","Details",""
"81","Techstars","Standard Analytics","100,000","convertible_note","2014-03-18","Details",""
"82","Techstars","NBD Nanotechnologies","1,208,000","venture","2012-08-23","Details",""
"83","Techstars","Paranoid Fan","100,000","convertible_note","2016-10-14","Details",""
"84","Healthbox","Yosko","100,000","convertible_note","2016-03-31","Details",""
"85","Techstars","Popup Play","100,000","convertible_note","2016-02-19","Details",""
"86","Techstars","Sundar","100,000","convertible_note","2014-03-10","Details",""
"87","Techstars","Codementor","","seed","2013-08-05","Details",""
