"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AlphaLab","The Resumator","15,000,000","venture","2014-08-19","Details",""
"2","LaunchpadLA","Divshot","1,100,000","seed","2013-03-19","Details","Exited"
"3","LaunchpadLA","Tradesy","13,000,000","venture","2014-05-19","Details",""
"4","Y Combinator","Rainforest QA","12,000,000","venture","2016-02-17","Details",""
"5","AlphaLab","The Resumator","2,100,000","venture","2012-10-30","Details",""
"6","Techstars","Silversheet","2,900,000","seed","2015-05-13","Details",""
"7","LaunchpadLA","Tradesy","1,500,000","venture","2012-10-24","Details",""
"8","Techstars","Keen.io","2,350,000","seed","2013-10-23","Details",""
"9","LaunchpadLA","Tradesy","30,000,000","venture","2015-01-27","Details",""
"10","LaunchpadLA","Tradesy","30,000,000","venture","2016-05-09","Details",""
"11","Techstars","Keen.io","11,300,000","venture","2014-07-01","Details",""
"12","AlphaLab","The Resumator","700,000","angel","2011-05-06","Details",""
"13","Y Combinator","Rainforest QA","4,000,000","seed","2015-02-10","Details",""
