"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"2","Y Combinator","Sendwithus","2,300,000","seed","2014-09-25","Details",""
"3","Techstars","Silversheet","2,900,000","seed","2015-05-13","Details",""
"4","Y Combinator","Fixed","1,200,000","seed","2014-07-24","Details","Exited"
"5","AngelPad","Postmates","1,200,000","angel","2012-04-15","Details",""
"6","Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"7","500startups","Tout","15,000,000","venture","2015-03-03","Details","Exited"
"8","Techstars","ClassPass","2,000,000","seed","2014-03-31","Details",""
"9","The Alchemist Accelerator","Matternet","3,500,000","seed","2013-11-01","Details",""
"10","500startups","Tout","920,000","seed","2013-04-04","Details","Exited"
"11","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"12","Y Combinator","9GAG","2,800,000","seed","2012-07-30","Details",""
"13","Y Combinator","ClearTax","1,300,000","seed","2016-04-26","Details",""
"14","Y Combinator","Liftignighter","","seed","2015-03-25","Details",""
"15","Tumml","Hitch","600,000","seed","2014-03-13","Details","Exited"
"16","Betaspring","Splitwise","1,400,000","seed","2014-12-16","Details",""
"17","Mucker Lab","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"18","500startups","GoRefi","1,540,000","seed","2014-09-09","Details",""
"19","Techstars","Thinkfuse","520,000","angel","2011-03-24","Details","Exited"
"20","Y Combinator","Fixed","1,200,000","seed","2014-08-14","Details","Exited"
"21","Y Combinator","Checkr","9,000,000","venture","2014-10-14","Details",""
"22","Y Combinator","Plate Joy","1,700,000","seed","2015-04-29","Details",""
"23","AngelPad","Postmates","5,000,000","venture","2013-03-19","Details",""
"24","Y Combinator","Appjet","700,000","angel","2007-08-01","Details","Exited"
"25","500startups","TenderTree","1,300,000","seed","2012-11-14","Details","Dead"
