"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","ignite100","Moltin","2,000,000","seed","2016-01-13","Details",""
"2","500startups","Havenly","","undisclosed","2015-03-13","Details",""
"3","Techstars","Notion","2,500,000","seed","2015-05-26","Details",""
"4","Y Combinator","VetPronto","230,000","seed","2014-12-15","Details",""
"5","Mergelane","Havenly","","venture","2015-03-13","Details",""
"6","RockHealth","CareAtHand","560,000","seed","2015-08-14","Details","Exited"
"7","Techstars","Notion","3,200,000","seed","2016-06-02","Details",""
"8","Y Combinator","Popular Pays","","seed","2015-04-01","Details",""
"9","500startups","Growbots","600,000","angel","2015-10-24","Details",""
"10","Y Combinator","Open Listings","1,000,000","seed","2015-10-27","Details",""
"11","The Alchemist Accelerator","Qbox","2,400,000","seed","2015-08-26","Details",""
"12","Y Combinator","Moltin","2,000,000","seed","2016-01-13","Details",""
"13","Y Combinator","CareSkore","4,300,000","seed","2016-08-09","Details",""
