"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Answerly.com","","angel","2010-07-01","Details","Dead"
"2","500startups","Farmeron","2,650,000","seed","2014-05-23","Details","Exited"
"3","Imagine K12","Panorama","4,000,000","seed","2013-10-21","Details",""
"4","AngelPad","Postmates","16,000,000","venture","2014-02-18","Details",""
"5","AngelPad","Simplifeye","3,000,000","venture","2017-03-09","Details",""
"6","AngelPad","Postmates","35,000,000","venture","2015-02-20","Details",""
"7","Y Combinator","Nowmov","","angel","2010-05-01","Details","Dead"
"8","Y Combinator","Clever","3,000,000","seed","2012-10-22","Details",""
"9","Y Combinator","Songkick","1,100,000","angel","2008-03-01","Details","Exited"
"10","AngelPad","Postmates","750,000","angel","2011-05-01","Details",""
"11","Techstars","Spoon University","2,000,000","seed","2015-07-14","Details","Exited"
"12","Techstars","SendGrid","750,000","venture","2009-12-08","Details",""
"13","500startups","visual.ly","3,300,000","venture","2015-03-05","Details","Exited"
"14","500startups","Bigfinite","0","convertible_note","2016-07-12","Details",""
"15","AngelPad","Postmates","1,200,000","angel","2012-04-15","Details",""
"16","The Alchemist Accelerator","LaunchDarkly","2,600,000","venture","2015-06-04","Details",""
"17","AngelPad","DroneDeploy","2,000,000","seed","2014-09-19","Details",""
"18","AngelPad","Vungle","17,000,000","venture","2014-02-06","Details",""
"19","Y Combinator","Vidyard","35,000,000","venture","2016-01-26","Details",""
"20","Y Combinator","Your Mechanic","1,800,000","seed","2012-09-11","Details",""
"21","AngelPad","Vungle","2,000,000","seed","2012-05-02","Details",""
"22","Y Combinator","Chariot","3,000,000","seed","2015-04-22","Details","Exited"
"23","Y Combinator","Snaptalent","","seed","2008-01-01","Details","Dead"
"24","Y Combinator","Opzi","1,000,000","angel","2010-09-01","Details","Dead"
"25","Techstars","Smart Toy","2,500,000","seed","2012-09-24","Details","Exited"
"26","500startups","visual.ly","2,000,000","seed","2011-10-20","Details","Exited"
"27","Y Combinator","Doblet","1,300,000","seed","2015-05-07","Details",""
"28","Y Combinator","Panorama Education","4,000,000","seed","2013-10-21","Details",""
"29","Y Combinator","OnboardIQ","9,100,000","venture","2017-07-06","Details",""
"30","Techstars","SendGrid","21,600,000","venture","2012-01-17","Details",""
"31","Techstars","GreatHorn","6,300,000","venture","2017-06-21","Details",""
"32","Y Combinator","Coin","15,500,000","venture","2014-05-05","Details","Exited"
"33","Techstars","Kato","1,760,000","venture","2013-08-01","Details",""
"34","Techstars","SendGrid","5,000,000","venture","2010-04-20","Details",""
"35","Techstars","GreatHorn","2,250,000","seed","2016-03-21","Details",""
"36","500startups","Shippo","2,000,000","seed","2014-09-18","Details",""
"37","500startups","Shippo","7,000,000","venture","2016-09-09","Details",""
"38","Imagine K12","Educents","2,930,000","seed","2015-04-05","Details",""
"39","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"40","AngelPad","DroneDeploy","9,000,000","venture","2015-03-31","Details",""
"41","500startups","visual.ly","8,100,000","venture","2014-01-14","Details","Exited"
"42","Imagine K12","ClassDojo","8,500,000","venture","2013-04-02","Details",""
"43","500startups","central.ly","4,000,000","venture","2014-05-16","Details",""
"44","Y Combinator","Survata","1,700,000","seed","2013-06-04","Details",""
"45","iVentures10","Next Big Sound","6,500,000","venture","2012-01-03","Details","Exited"
"46","Techstars","Foodzie","1,000,000","seed","2008-12-16","Details","Exited"
"47","Y Combinator","Captain 401","3,500,000","seed","2016-02-24","Details",""
"48","Techstars","Wander","1,200,000","seed","2012-04-19","Details","Exited"
"49","iVentures10","Next Big Sound","1,000,000","seed","2009-12-03","Details","Exited"
"50","Techstars","Ubooly","2,500,000","seed","2012-09-24","Details","Exited"
"51","Y Combinator","Vidyard","18,000,000","venture","2015-01-14","Details",""
"52","Seedcamp","FarmerOn","2,650,000","seed","2014-05-23","Details","Exited"
"53","Y Combinator","Vidyard","1,650,000","venture","2011-11-17","Details",""
"54","Techstars","Adstruc","1,100,000","seed","2010-09-28","Details",""
"55","Y Combinator","Vidyard","6,000,000","venture","2013-03-21","Details",""
