"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","SparkLabs","MangoPlate","900,000","seed","2014-10-23","Details",""
"2","Y Combinator","Memebox","500,000","seed","2013-12-09","Details",""
"3","Techstars","Aire","1,100,000","seed","2015-01-30","Details",""
"4","Techstars","Squirrel","50,000","seed","2014-08-15","Details",""
"5","Y Combinator","Castle.io","360,000","angel","2015-02-12","Details",""
"6","Y Combinator","MinoMonsters","1,500,000","seed","2014-12-01","Details",""
"7","Techstars","Hullabalu","2,500,000","seed","2015-11-09","Details",""
"8","Techstars","ClauseMatch","100,000","seed","2014-06-01","Details",""
"9","500startups","PayByGroup","","seed","2014-02-04","Details",""
"10","500startups","PayByGroup","3,400,000","seed","2016-10-13","Details",""
"11","Techstars","ClauseMatch","1,600,000","seed","2017-06-29","Details",""
"12","Techstars","Good.co","1,450,000","seed","2013-11-12","Details",""
"13","Techstars","Aire","300,000","seed","2014-06-16","Details",""
"14","Techstars","Gust","100,000","seed","2014-09-15","Details",""
"15","Techstars","Hullabalu","2,150,000","convertible_note","2014-03-12","Details",""
"16","Y Combinator","Memebox","800,000","seed","2014-03-16","Details",""
"17","SparkLabs","KnowRe","6,800,000","venture","2014-10-22","Details",""
