"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","StartEngine","ThrdPlace","","seed","2012-03-21","Details",""
"2","StartEngine","Fad.io","","seed","2012-06-29","Details","Dead"
"3","StartEngine","MergeLocal","","seed","2012-06-29","Details","Dead"
"4","StartEngine","Pronoise","","seed","2012-03-21","Details","Dead"
"5","StartEngine","Hypemarks","20,000","seed","2011-12-02","Details",""
"6","StartEngine","Overhead.fm","","seed","2012-09-21","Details",""
"7","StartEngine","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"8","StartEngine","Enplug","1,200,000","seed","2012-09-21","Details",""
"9","StartEngine","Afterschool.me","","seed","2012-09-21","Details",""
"10","StartEngine","Pagewoo","","seed","2012-03-21","Details",""
"11","StartEngine","BetterYou","","seed","2012-06-29","Details",""
"12","StartEngine","FitKit","","seed","2012-09-21","Details",""
"13","StartEngine","MyRight","","seed","2012-09-21","Details",""
"14","StartEngine","Rivono","","seed","2012-06-29","Details","Dead"
"15","StartEngine","Fromography","","seed","2012-06-29","Details",""
"16","StartEngine","KokoChi","","seed","2012-06-29","Details",""
"17","StartEngine","Gonnabe","","seed","2012-03-21","Details",""
