"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"2","Y Combinator","Videopixie","","seed","2011-06-01","Details",""
"3","Y Combinator","Streem","875,000","seed","2014-04-25","Details","Exited"
"4","Y Combinator","Kicksend","1,800,000","seed","2011-11-03","Details","Exited"
"5","Y Combinator","Dubjoy","1,600,000","seed","2012-02-13","Details",""
"6","Y Combinator","Earbits","605,000","seed","2011-06-17","Details","Exited"
"7","Y Combinator","Five Stars","150,000","seed","2011-01-01","Details",""
"8","Y Combinator","Kamcord","1,500,000","seed","2012-12-19","Details",""
"9","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"10","Y Combinator","ZeroCater","1,500,000","venture","2011-08-10","Details",""
"11","Y Combinator","StoryWorth","167,000","seed","2011-03-01","Details",""
"12","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"13","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"14","Y Combinator","Dr Chrono","675,000","seed","2011-07-14","Details",""
"15","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"16","Y Combinator","Noteleaf","","seed","2011-01-01","Details",""
"17","Y Combinator","Perfect Audience","1,100,000","seed","2012-10-05","Details","Exited"
"18","Y Combinator","Compose","417,000","seed","2011-06-24","Details","Exited"
"19","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"20","Y Combinator","TrustEgg","150,000","seed","2012-02-20","Details","Dead"
"21","Y Combinator","Mattermark","1,000,000","seed","2012-10-15","Details",""
"22","Y Combinator","Submittable","750,000","venture","2012-11-10","Details",""
"23","Y Combinator","LendUp","","seed","2012-10-10","Details",""
"24","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"25","Y Combinator","Clever","20,000","seed","2012-06-01","Details",""
"26","Y Combinator","Documents.me","250,000","seed","2012-06-12","Details",""
"27","Y Combinator","Imgix","164,000","seed","2011-05-01","Details",""
"28","Y Combinator","Verbling","1,000,000","seed","2012-01-26","Details",""
"29","Y Combinator","YouGotListings","150,000","seed","2011-03-06","Details",""
"30","Y Combinator","Embark","","seed","2012-01-25","Details","Exited"
"31","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"32","Y Combinator","MinoMonsters","150,000","seed","2011-02-01","Details",""
"33","Y Combinator","GoCardless","1,500,000","venture","2012-02-07","Details",""
"34","Y Combinator","Siasto","750,000","venture","2013-08-09","Details",""
"35","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"36","Y Combinator","Kamcord","170,000","seed","2012-06-01","Details",""
"37","Y Combinator","LendUp","","seed","2012-04-20","Details",""
"38","Y Combinator","Quartzy","1,200,000","seed","2012-02-23","Details",""
"39","Y Combinator","Science Exchange","1,500,000","seed","2011-12-02","Details",""
"40","Y Combinator","Flutter","1,400,000","seed","2012-06-07","Details","Exited"
"41","Y Combinator","Close.io","500,000","venture","2011-02-10","Details","Dead"
"42","Y Combinator","EasyPost","850,000","seed","2013-06-06","Details",""
"43","Y Combinator","ViaCycle","","seed","2012-06-01","Details","Dead"
