"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Orange Fab","talkdesk","15,000,000","venture","2015-06-09","Details",""
"2","Y Combinator","CareSkore","4,300,000","seed","2016-08-09","Details",""
"3","500startups","TalkDesk","15,000,000","venture","2015-06-09","Details",""
"4","500startups","TalkDesk","3,000,000","seed","2014-09-16","Details",""
"5","Techstars","SalesLoft","10,150,000","venture","2015-04-01","Details",""
"6","500startups","TalkDesk","6,000,000","venture","2015-10-07","Details",""
"7","Y Combinator","Algolia","53,000,000","venture","2017-06-07","Details",""
"8","AngelPad","Pipedrive","2,400,000","seed","2013-09-18","Details",""
"9","Y Combinator","Algolia","18,300,000","venture","2015-05-20","Details",""
"10","Orange Fab","talkdesk","3,000,000","seed","2014-09-16","Details",""
"11","Y Combinator","Algolia","1,300,000","seed","2014-06-19","Details",""
"12","Y Combinator","Rainforest QA","4,000,000","seed","2015-02-10","Details",""
"13","Orange Fab","talkdesk","6,000,000","venture","2015-10-07","Details",""
