"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","UpCounsel","2,400,000","seed","2014-12-09","Details",""
"2","500startups","visual.ly","3,300,000","venture","2015-03-05","Details","Exited"
"3","Y Combinator","Rigetti Computing","2,500,000","seed","2014-04-15","Details",""
"4","Y Combinator","BuildZoom","2,150,000","seed","2014-10-06","Details",""
"5","Y Combinator","Sourcery","3,000,000","seed","2015-01-29","Details",""
"6","Y Combinator","DoorDash","40,000,000","venture","2015-03-26","Details",""
"7","Y Combinator","Citus Data","2,000,000","seed","2013-06-01","Details",""
"8","The Alchemist Accelerator","Rigetti Quantum Computing","24,000,000","venture","2017-03-28","Details",""
"9","AngelPad","Boomtrain","1,966,279","venture","2014-03-03","Details",""
"10","Media Camp","Meograph","875,000","seed","2016-08-31","Details",""
"11","The Alchemist Accelerator","Rigetti Quantum Computing","2,500,000","seed","2014-04-15","Details",""
"12","Techstars","Keen.io","11,300,000","venture","2014-07-01","Details",""
"13","Y Combinator","Lumoid","1,100,000","convertible_note","2015-01-07","Details",""
"14","Upwest Labs","Invi","2,000,000","undisclosed","2015-07-21","Details",""
"15","Y Combinator","GinzaMetrics","","convertible_note","2014-04-27","Details",""
"16","Boost VC","BlockCypher","400,000","convertible_note","2014-11-01","Details",""
"17","Y Combinator","Indinero","7,000,000","venture","2015-02-18","Details",""
"18","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"19","The Alchemist Accelerator","Rigetti Quantum Computing","500,000","convertible_note","2014-08-29","Details",""
"20","Y Combinator","Rigetti Computing","24,000,000","venture","2017-03-28","Details",""
"21","Y Combinator","Rescale","","seed","2014-03-31","Details",""
"22","The Alchemist Accelerator","Selligy","2,800,000","venture","2013-11-13","Details","Exited"
"23","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"24","Y Combinator","BitNami","","seed","2013-03-01","Details",""
"25","Y Combinator","DoorDash","2,400,000","angel","2013-09-30","Details",""
"26","The Alchemist Accelerator","Sourcery","3,000,000","seed","2015-01-29","Details",""
"27","Y Combinator","Rigetti Computing","500,000","convertible_note","2014-08-29","Details",""
"28","Y Combinator","EasyPost","350,000","convertible_note","2014-10-06","Details",""
