"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"2","Y Combinator","Cue","700,000","seed","2010-08-31","Details","Exited"
"3","Y Combinator","Lattice","2,800,000","seed","2016-05-12","Details",""
"4","Y Combinator","Codecademy","2,500,000","venture","2011-10-27","Details",""
"5","Techstars","Morty","3,000,000","seed","2017-05-02","Details",""
"6","Y Combinator","Segment.io","27,000,000","venture","2015-10-09","Details",""
"7","Y Combinator","Stripe","70,000,000","venture","2014-12-02","Details",""
"8","Y Combinator","Gobble","1,200,000","venture","2011-05-11","Details",""
"9","AngelPad","Kinnek","20,000,000","venture","2015-10-15","Details",""
"10","Techstars","Dispatch","965,000","seed","2011-11-10","Details",""
"11","Techstars","ClassPass","70,000,000","venture","2017-06-16","Details",""
"12","Y Combinator","Benchling","5,000,000","venture","2015-04-16","Details",""
"13","Techstars","ClassPass","40,000,000","venture","2015-01-15","Details",""
"14","Y Combinator","Benchling","7,000,000","venture","2016-10-03","Details",""
"15","Y Combinator","Segment.io","64,000,000","venture","2017-07-13","Details",""
"16","Y Combinator","Instacart","220,000,000","venture","2015-01-13","Details",""
"17","Y Combinator","Tutorspree","1,000,000","seed","2011-12-20","Details","Exited"
"18","Techstars","PanOpen","1,500,000","seed","2015-06-24","Details",""
"19","Techstars","Bondsy","","seed","2012-07-01","Details","Dead"
