"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Filtrbox","500,000","seed","2008-02-28","Details","Exited"
"2","gener8tor","Understory","1,900,000","seed","2014-04-30","Details",""
"3","The Alchemist Accelerator","SocialPandas","1,500,000","seed","2012-08-15","Details","Dead"
"4","gener8tor","Understory","7,498,498","venture","2016-02-02","Details",""
"5","Y Combinator","Backtype","1,000,000","seed","2011-03-10","Details","Exited"
"6","Y Combinator","RescueTime","900,000","venture","2008-09-01","Details",""
"7","Y Combinator","Kicksend","1,800,000","seed","2011-11-03","Details","Exited"
"8","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"9","Portland Seed Fund","Superbly","350,000","venture","2012-07-01","Details",""
"10","500startups","955dreams","7,200,000","venture","2013-10-23","Details",""
"11","Techstars","Ginger.io","1,700,000","seed","2011-10-01","Details",""
"12","RockHealth","Sano Intelligence","3,750,000","seed","2013-01-07","Details",""
"13","AngelPad","Tray","5,000,000","venture","2016-11-17","Details",""
"14","K5Launch","Connectifier","6,000,000","venture","2015-10-27","Details","Exited"
"15","Techstars","Glider","350,000","venture","2012-07-01","Details","Exited"
"16","Y Combinator","Kicksend","1,000,000","seed","2013-04-13","Details","Exited"
"17","LaunchpadLA","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"18","Springboard","Tray","5,000,000","venture","2016-11-17","Details",""
"19","The Alchemist Accelerator","Atipica","2,000,000","seed","2016-10-09","Details",""
"20","Y Combinator","Submittable","5,000,000","venture","2017-06-13","Details",""
"21","Portland Seed Fund","Superbly","","seed","2012-03-07","Details",""
"22","Techstars","LiveStories","3,000,000","seed","2016-09-09","Details",""
"23","Springboard","Tray","2,200,000","seed","2015-04-16","Details",""
"24","LaunchpadLA","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"25","Imagine K12","Socrative","750,000","seed","2013-08-01","Details","Exited"
"26","Y Combinator","Backtype","300,000","seed","2009-01-01","Details","Exited"
"27","Imagine K12","NoRedInk","6,000,000","venture","2015-02-18","Details",""
"28","Techstars","Glider","1,000,000","seed","2013-04-09","Details","Exited"
"29","Techstars","Ginger.io","20,000,000","venture","2014-12-23","Details",""
"30","AngelPad","Tray","2,200,000","seed","2015-04-16","Details",""
"31","Portland Seed Fund","Superbly","1,000,000","seed","2013-04-09","Details",""
"32","AngelPad","Adku","1,500,000","seed","2010-12-09","Details","Exited"
"33","K5Launch","Connectifier","1,600,000","seed","2012-08-20","Details","Exited"
"34","Techstars","Glider","","seed","2012-03-07","Details","Exited"
"35","K5Launch","Connectifier","4,099,999","venture","2015-06-16","Details","Exited"
"36","LaunchpadLA","Connectifier","6,000,000","venture","2015-10-27","Details","Exited"
"37","Techstars","Ginger.io","6,500,000","venture","2012-11-28","Details",""
"38","Portland Incubator Experiment (PIE)","Orchestrate","3,000,000","seed","2013-05-21","Details","Exited"
"39","Techstars","Filtrbox","1,400,000","venture","2009-02-17","Details","Exited"
