"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","fbFund","Life360","5,500,000","venture","2011-09-01","Details",""
"2","500startups","Tout","350,000","seed","2011-05-15","Details","Exited"
"3","Y Combinator","Trigger.io","1,000,000","seed","2012-01-17","Details",""
"4","Y Combinator","SendHub","2,000,000","seed","2012-04-26","Details","Exited"
"5","Y Combinator","Embedly","450,000","seed","2011-06-09","Details","Exited"
"6","Betaspring","Manpacks","500,000","angel","2011-08-01","Details",""
"7","Techstars","GoSpotCheck","1,344,995","venture","2014-05-06","Details",""
"8","Y Combinator","Answerly.com","","angel","2010-07-01","Details","Dead"
"9","Y Combinator","GinzaMetrics","1,300,000","seed","2011-10-01","Details",""
"10","500startups","launchrock","800,000","seed","2011-11-08","Details","Exited"
"11","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"12","Techstars","Take Comics","3,800,000","venture","2011-01-25","Details","Exited"
