"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Amplify.LA","Fanbread","800,000","seed","2014-05-01","Details","Exited"
"2","Amplify.LA","20Jeans","1,000,000","seed","2013-04-18","Details",""
"3","Amplify.LA","Invested.in","880,000","venture","2012-01-19","Details",""
"4","500startups","Club W","3,100,000","undisclosed","2013-02-07","Details",""
"5","DreamIT Ventures","igloohome","1,250,000","seed","2015-12-16","Details",""
"6","Amplify.LA","TheBouqs","6,000,000","venture","2014-06-26","Details",""
"7","Techstars","CtrlWorks","1,300,000","seed","2015-06-05","Details",""
"8","JFDI.Asia","Healint","1,000,000","seed","2015-03-27","Details",""
"9","Y Combinator","Saleswhale","1,200,000","seed","2017-04-10","Details",""
"10","Amplify.LA","FloQast","6,500,000","venture","2016-03-16","Details",""
"11","Mucker Lab","Surf Air","3,759,387","venture","2012-06-06","Details",""
"12","Amplify.LA","Clutter","2,000,000","seed","2015-05-18","Details",""
"13","500startups","Kitterly","650,000","seed","2017-01-03","Details",""
"14","Amplify.LA","TheBouqs","12,000,000","venture","2016-02-03","Details",""
"15","Techstars","PartySlate","1,600,000","venture","2017-02-24","Details",""
"16","Techstars","Impact Health","1,650,000","seed","2016-10-23","Details",""
"17","AngelPad","Ribbon","1,630,000","seed","2013-02-05","Details",""
"18","10-xcelerator","Kout","1,600,000","venture","2013-04-01","Details","Dead"
"19","Amplify.LA","RadPad","600,000","seed","2013-11-06","Details","Exited"
"20","Amplify.LA","TheBouqs","1,100,000","seed","2013-06-25","Details",""
"21","Techstars","Impact Health","3,300,000","seed","2017-03-16","Details",""
"22","Techstars","Cogo.tv","1,200,000","seed","2015-01-01","Details",""
"23","Mucker Lab","Laffster","750,000","seed","2012-10-24","Details",""
"24","Amplify.LA","FloQast","1,300,000","seed","2014-11-05","Details",""
"25","500startups","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"26","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"27","AngelPad","SimpleReach","9,000,000","venture","2014-07-11","Details",""
"28","AngelPad","SimpleReach","13,600,000","venture","2017-04-21","Details",""
"29","Y Combinator","Kalibrr","","seed","2013-12-18","Details",""
"30","Amplify.LA","Stacksocial","800,000","seed","2012-07-24","Details",""
"31","Amplify.LA","Squabbler","","seed","2013-02-15","Details",""
"32","Media Camp","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"33","Amplify.LA","Fama","1,500,000","seed","2015-12-23","Details",""
"34","Amplify.LA","ClubW","3,100,000","undisclosed","2013-02-07","Details",""
"35","Techstars","Impact Health","1,300,000","seed","2016-04-27","Details",""
"36","Amplify.LA","Affinity Networks","500,000","seed","2014-02-20","Details",""
"37","Amplify.LA","Invested.in","830,000","seed","2012-11-01","Details",""
"38","Amplify.LA","Affinity Networks","500,000","seed","2015-02-10","Details",""
"39","DreamIT Ventures","AppAddictive","1,200,000","seed","2012-01-19","Details",""
