"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","UpCounsel","2,400,000","seed","2014-12-09","Details",""
"2","500startups","Sourceasy","2,655,000","seed","2015-11-24","Details",""
"3","500startups","Sourceasy","1,330,000","seed","2016-08-31","Details",""
"4","Y Combinator","OwnLocal","1,408,000","seed","2015-08-28","Details",""
"5","Techstars","BISON","","seed","2014-10-01","Details",""
"6","Imagine K12","SchoolMint","5,000,000","venture","2016-02-10","Details",""
"7","Nxtp.labs","FormaFina","","seed","2014-11-27","Details",""
"8","Y Combinator","Popular Pays","2,000,000","venture","2015-07-23","Details",""
"9","Upwest Labs","Peer5","","venture","2014-10-23","Details",""
"10","Techstars","Filament","5,000,000","venture","2015-05-13","Details",""
"11","500startups","GoRefi","1,540,000","seed","2014-09-09","Details",""
"12","Y Combinator","Peer5","","venture","2014-10-23","Details",""
