"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AlphaLab","The Resumator","700,000","angel","2011-05-06","Details",""
"2","Techstars","Owlet","7,000,000","venture","2015-08-18","Details",""
"3","Techstars","Plated","5,000,000","venture","2014-01-06","Details",""
"4","Techstars","Distil","","venture","2013-11-04","Details",""
"5","Amplify.LA","Estify","6,300,000","venture","2016-09-26","Details",""
"6","Techstars","Moveline","1,500,000","seed","2012-10-31","Details",""
"7","Techstars","Moveline","3,000,000","venture","2014-04-30","Details",""
"8","Amplify.LA","Estify","1,500,000","venture","2014-10-03","Details",""
"9","Techstars","Plated","","seed","2013-03-12","Details",""
"10","Entrepreneurs Roundtable Accelerator","AppyCouple","1,200,000","seed","2012-10-20","Details",""
"11","Techstars","Plated","15,000,000","venture","2014-08-09","Details",""
"12","Amplify.LA","Estify","974,000","seed","2013-09-27","Details",""
"13","Techstars","Plated","","seed","2014-02-05","Details",""
"14","Flashpoint","Ionic Security","25,500,000","venture","2014-02-20","Details",""
"15","DreamIT Ventures","Parsely","5,232,753","venture","2013-08-26","Details",""
"16","Y Combinator","Rescale","","seed","2012-04-01","Details",""
"17","Flashpoint","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"18","Upwest Labs","CyberX","9,000,000","venture","2016-08-01","Details",""
"19","Techstars","ThinkNear","1,630,000","venture","2011-08-13","Details","Exited"
"20","Techstars","Plated","","venture","2014-04-10","Details",""
"21","Mucker Lab","Surf Air","8,000,000","venture","2014-08-07","Details",""
"22","Techstars","GreatHorn","6,300,000","venture","2017-06-21","Details",""
"23","Techstars","Distil","10,000,000","venture","2014-05-27","Details",""
"24","Techstars","Contently","","venture","2013-04-26","Details",""
"25","Techstars","Distil","200,000","seed","2013-03-18","Details",""
"26","Techstars","Contently","9,000,000","venture","2014-01-15","Details",""
"27","Techstars","Contently","2,000,000","venture","2012-01-08","Details",""
"28","Techstars","Distil","1,800,000","seed","2013-01-24","Details",""
"29","Techstars","GreatHorn","2,250,000","seed","2016-03-21","Details",""
"30","Entrepreneurs Roundtable Accelerator","Centzy","1,600,000","seed","2013-03-27","Details",""
"31","Amplify.LA","Estify","","seed","2013-04-24","Details",""
"32","Techstars","Distil","21,000,000","venture","2015-06-30","Details",""
"33","Entrepreneurs Roundtable Accelerator","Centzy","4,300,000","venture","2013-11-21","Details",""
"34","DreamIT Ventures","Parsely","800,000","venture","2010-12-01","Details",""
"35","Entrepreneurs Roundtable Accelerator","Centzy","800,000","seed","2011-12-28","Details",""
"36","Techstars","Plated","1,400,000","seed","2013-05-09","Details",""
"37","Flashpoint","Ionic Security","9,400,000","venture","2013-04-19","Details",""
"38","Entrepreneurs Roundtable Accelerator","AppyCouple","1,500,000","seed","2013-11-07","Details",""
"39","Techstars","Owlet","1,850,000","seed","2014-04-22","Details",""
"40","AlphaLab","The Resumator","2,100,000","venture","2012-10-30","Details",""
"41","Techstars","Plated","","seed","2013-04-02","Details",""
