"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","SixThirty","gremln","500,000","seed","2014-11-03","Details",""
"2","SURGE","Bractlet","2,000,000","venture","2016-09-26","Details",""
"3","Capital Innovators","Better Weekdays","1,300,000","venture","2015-10-20","Details",""
"4","Capital Innovators","AdFreeq","","undisclosed","2014-04-09","Details",""
"5","SixThirty","gremln","500,000","seed","2014-11-03","Details",""
"6","The Yield Lab","Holganix","3,000,000","venture","2017-01-13","Details",""
"7","Capital Innovators","Gremln","500,000","seed","2014-11-03","Details",""
"8","Capital Innovators","Time to Cater","102,500","angel","2014-02-01","Details",""
"9","Capital Innovators","Time to Cater","","undisclosed","2013-08-27","Details",""
"10","SURGE","Bractlet","750,000","seed","2015-04-30","Details",""
