"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"9Mile Labs","Mowdo","55,000","seed","2014-04-01","Details",NA
"2",2,"9Mile Labs","Resale Therapy","35,000","seed","2014-01-14","Details",NA
"3",3,"9Mile Labs","Jydo","35,000","seed","2014-09-14","Details",NA
"4",4,"9Mile Labs","Unoceros","","seed","2015-01-01","Details",NA
"5",5,"9Mile Labs","Pawzii","35,000","seed","2014-01-15","Details",NA
"6",6,"9Mile Labs","MetaCraft","35,000","seed","2014-07-15","Details",NA
"7",7,"9Mile Labs","Cloudadmin","35,000","seed","2013-08-31","Details",NA
"8",8,"9Mile Labs","Prizmiq","35,000","seed","2013-08-31","Details",NA
"9",9,"9Mile Labs","Ghostruck","35,000","seed","2014-01-30","Details",NA
"10",10,"9Mile Labs","myaNumber","35,000","seed","2014-09-05","Details",NA
"11",11,"9Mile Labs","GiftStarter","35,000","seed","2014-07-31","Details",NA
"12",12,"9Mile Labs","Pingle","300,000","seed","2015-12-22","Details",NA
"13",13,"500startups","GiftStarter","35,000","seed","2014-07-31","Details",NA
"14",14,"9Mile Labs","Camp Native","35,000","seed","2015-02-01","Details",NA
"15",15,"9Mile Labs","KoduCare","35,000","seed","2015-02-01","Details",NA
"16",1,"Grace Stanat","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"17",2,"Rudy Gadre","GiftStarter","260,000","angel","2015-02-01","Details",""
"18",3,"MVP Academy","Qalendra","","venture","2014-06-02","Details",""
"19",4,"Angel Investor","Pingle","300,000","seed","2015-12-22","Details",""
"20",5,"NMotion","Mowdo","50,000","grant","2014-07-24","Details",""
"21",6,"9Mile Labs","Mowdo","55,000","seed","2014-04-01","Details",""
"22",7,"9Mile Labs","Resale Therapy","35,000","seed","2014-01-14","Details",""
"23",8,"9Mile Labs","Jydo","35,000","seed","2014-09-14","Details",""
"24",9,"Jonathan Sposato","GiftStarter","260,000","angel","2015-02-01","Details",""
"25",10,"9Mile Labs","Unoceros","","seed","2015-01-01","Details",""
"26",11,"Miller Lite","Mowdo","20,000","grant","2015-09-19","Details",""
"27",12,"9Mile Labs","Pawzii","35,000","seed","2014-01-15","Details",""
"28",13,"NMotion","Mowdo","55,000","seed","2014-04-01","Details",""
"29",14,"Rob Adams","Fasterbids","220,000","seed","2015-02-02","Details",""
"30",15,"Christine Day","Prizmiq","300,000","convertible_note","2015-05-15","Details",""
"31",16,"500 Startups","GiftStarter","125,000","seed","2015-07-14","Details",""
"32",17,"9Mile Labs","MetaCraft","35,000","seed","2014-07-15","Details",""
"33",18,"Gary Rubens","GiftStarter","260,000","angel","2015-02-01","Details",""
"34",19,"9Mile Labs","Cloudadmin","35,000","seed","2013-08-31","Details",""
"35",20,"QueensBridge Venture Partners","Unoceros","","seed","2015-01-01","Details",""
"36",21,"Moonshots Capital","Unoceros","25,000","seed","2015-12-11","Details",""
"37",22,"9Mile Labs","Prizmiq","35,000","seed","2013-08-31","Details",""
"38",23,"Social Starts","Unoceros","25,000","seed","2015-12-11","Details",""
"39",24,"Rao Remala","GiftStarter","260,000","angel","2015-02-01","Details",""
"40",25,"Startup Next","GiftStarter","","non_equity_assistance","2014-04-08","Details",""
"41",26,"Zillionize Angel","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"42",27,"9Mile Labs","Ghostruck","35,000","seed","2014-01-30","Details",""
"43",28,"9Mile Labs","myaNumber","35,000","seed","2014-09-05","Details",""
"44",29,"Alliance of Angels","Camp Native","50,000","debt_financing","2015-08-10","Details",""
"45",30,"9Mile Labs","GiftStarter","35,000","seed","2014-07-31","Details",""
"46",31,"9Mile Labs","Pingle","300,000","seed","2015-12-22","Details",""
"47",32,"Founders' Co-op","Transpose","1,500,000","seed","2015-05-11","Details","Dead"
"48",33,"TEEC Angel Fund","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"49",34,"Alliance of Angels","buildpulse","1,300,000","seed","2016-11-18","Details",""
"50",35,"Alliance of Angels","Transpose","1,500,000","seed","2015-05-11","Details","Dead"
"51",36,"Elmspring Accelerator","Camp Native","20,000","seed","2015-01-05","Details",""
"52",37,"Nebraska Innovation Fund: Prototype Fund (Grant)","Mowdo","50,000","grant","2014-07-24","Details",""
"53",38,"9Mile Labs","Camp Native","35,000","seed","2015-02-01","Details",""
"54",39,"Invest Nebraska","Mowdo","55,000","seed","2014-04-01","Details",""
"55",40,"PortXL","Pingle","300,000","seed","2015-12-22","Details",""
"56",41,"Social Starts","Unoceros","50,000","seed","2016-04-19","Details",""
"57",42,"Gary Rubens","Prizmiq","300,000","convertible_note","2015-05-15","Details",""
"58",43,"Owen Van Natta","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"59",44,"Founders' Co-op","Ghostruck","2,200,000","seed","2014-09-25","Details",""
"60",45,"Acequia Capital","Ghostruck","","seed","2015-04-01","Details",""
"61",46,"9Mile Labs","KoduCare","35,000","seed","2015-02-01","Details",""
