"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"AccelFoods","Exo","4,000,000","venture","2016-03-07","Details",NA
"2",1,"AccelFoods","Exo","4,000,000","venture","2016-03-07","Details",NA
"3",2,"Hedgewood","Exo","1,200,000","seed","2014-09-23","Details",NA
"4",3,"Timothy Ferriss","Exo","1,200,000","seed","2014-09-23","Details",NA
"5",4,"Nasir ""Nas"" Jones","Exo","4,000,000","venture","2016-03-07","Details",NA
"6",5,"Tim Ferriss","Exo","4,000,000","venture","2016-03-07","Details",NA
"7",6,"Start Garden","Exo","4,000,000","venture","2016-03-07","Details",NA
"8",7,"Dentsu Ventures","Exo","","venture","2016-04-29","Details",NA
"9",8,"Dentsu Ventures","Exo","4,000,000","venture","2016-03-07","Details",NA
"10",9,"Marc Bell Ventures","Exo","1,200,000","seed","2014-09-23","Details",NA
"11",10,"Collaborative Fund","Exo","4,000,000","venture","2016-03-07","Details",NA
"12",11,"Collaborative Fund","Exo","1,200,000","seed","2014-09-23","Details",NA
"13",12,"Start Garden","Exo","1,200,000","seed","2014-09-23","Details",NA
"14",13,"Innovative Fund","Exo","1,200,000","seed","2014-09-23","Details",NA
