"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"500startups","GymHit","650,000","convertible_note","2015-07-05","Details",""
"2",2,"500startups","GymHit","","venture","2016-07-01","Details",""
"3",3,"Y Combinator","PocketSuite","30,000","convertible_note","2014-08-12","Details",""
"4",4,"500startups","Baloonr","50,000","seed","2016-02-26","Details",""
"5",5,"500startups","Reesio","207,500","seed","2015-07-16","Details","Exited"
"6",6,"500startups","Indio","2,000,000","seed","2016-11-01","Details",""
"7",7,"500startups","WorkAmerica","","seed","2013-09-13","Details",""
"8",8,"Techstars","ResolutionTube","1,900,000","seed","2013-12-19","Details",""
"9",9,"Y Combinator","Apozy","","seed","2013-09-15","Details",""
"10",10,"Acceleprise","ExecOnline","","seed","2012-07-18","Details",""
"11",11,"Techstars","ResolutionTube","","seed","2013-09-13","Details",""
"12",12,"DreamIT Ventures","baloonr","50,000","seed","2016-02-26","Details",""
"13",13,"The Alchemist Accelerator","ContextSmith","50,000","seed","2016-02-01","Details",""
"14",14,"Y Combinator","Nova","330,000","convertible_note","2015-03-31","Details",""
"15",1,"Kaplan Ventures","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"16",2,"Kaplan","ExecOnline","16,000,000","venture","2017-07-27","Details",NA
"17",3,"Haystack Partners","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"18",4,"Acceleprise Ventures","SIGKAT","","seed","2012-07-18","Details",NA
"19",5,"Osage Venture Partners","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"20",6,"Kate Eberle Walker","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"21",7,"Washington Post","ExecOnline","","seed","2012-07-18","Details",NA
"22",8,"Acceleprise Ventures","Mercury Continuity","","seed","2012-07-18","Details",NA
"23",9,"NewSpring Capital","ExecOnline","16,000,000","venture","2017-07-27","Details",NA
"24",10,"Dingman Center Angels","ExecOnline","","seed","2012-07-18","Details",NA
"25",11,"Acceleprise","ExecOnline","","seed","2012-07-18","Details",NA
"26",12,"New Atlantic Ventures","ExecOnline","16,000,000","venture","2017-07-27","Details",NA
"27",13,"NAV.VC","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"28",14,"Militello Capital","ExecOnline","5,000,000","venture","2014-10-23","Details",NA
"29",15,"Thomas Lehrman","ExecOnline","16,000,000","venture","2017-07-27","Details",NA
"30",16,"Osage Venture Partners","ExecOnline","16,000,000","venture","2017-07-27","Details",NA
"31",17,"Acceleprise Ventures","ConfrenceEdge","","seed","2012-07-20","Details",NA
