"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Ambition",NA,"seed","2014-02-01","Details",NA
"2",1,"Amplify.LA","Bitium","","seed","2012-08-01","Details",NA
"3",2,"Techstars","Tenzo","600,000","seed","2017-04-10","Details",NA
"4",3,"The Alchemist Accelerator","Rigetti Quantum Computing","2,200,000","seed","2015-08-01","Details",NA
"5",4,"Y Combinator","Algolia","1,300,000","seed","2014-06-19","Details",NA
"6",5,"Y Combinator","Edyn","850,000","seed","2013-12-01","Details",NA
"7",6,"Y Combinator","Thalmic Labs (Myo)","14,500,000","venture","2013-06-05","Details",NA
"8",7,"Techstars","ClassPass","40,000,000","venture","2015-01-15","Details",NA
"9",8,"Y Combinator","Teespring","1,200,000","angel","2013-04-01","Details",NA
"10",9,"Y Combinator","Imgix","1,500,000","angel","2015-05-29","Details",NA
"11",10,"Techstars","ClassPass","2,000,000","seed","2014-03-31","Details",NA
"12",11,"Techstars","ClassPass","12,000,000","venture","2014-09-17","Details",NA
"13",12,"Techstars","ClassPass","70,000,000","venture","2017-06-16","Details",NA
"14",13,"Y Combinator","Rigetti Computing","2,200,000","seed","2015-08-01","Details",NA
"15",14,"Y Combinator","WayUp","7,800,000","venture","2015-04-30","Details",NA
"16",15,"9Mile Labs","Ghostruck","","seed","2015-04-01","Details",NA
