"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Betaspring","A Curated World","50,000","seed","2012-04-01","Details",""
"2",2,"Betaspring","Scholrly","50,000","seed","2012-12-01","Details",""
"3",3,"Betaspring","Moveable Code","350,000","seed","2012-04-01","Details","Dead"
"4",4,"Betaspring","RecoVend","50,000","seed","2012-04-01","Details",""
"5",5,"Betaspring","ZoomTilt","88,000","seed","2013-02-28","Details",""
"6",6,"Betaspring","Umbie Dental Care","235,000","debt_financing","2011-12-04","Details",""
"7",7,"HAXLR8R","Quitbit","20,000","seed","2013-11-01","Details",""
"8",8,"Betaspring","Building Layer","20,000","seed","2011-06-01","Details","Dead"
"9",9,"Betaspring","Greentape","50,000","seed","2013-01-01","Details",""
"10",10,"Betaspring","Pennant","50,000","seed","2013-04-01","Details","Dead"
"11",11,"Betaspring","SurpriseRide","100,000","seed","2013-02-01","Details",""
"12",12,"Betaspring","Catapulter","20,000","seed","2010-06-01","Details",""
"13",13,"Betaspring","ThumbsUp","50,000","seed","2012-04-01","Details",""
"14",14,"Betaspring","SkillHound","20,000","seed","2013-02-28","Details",""
"15",15,"Betaspring","Tu.nr","14,000","seed","2010-06-01","Details","Dead"
"16",16,"Betaspring","Tracelytics","600,000","seed","2011-11-03","Details","Exited"
"17",17,"Betaspring","Prepmatic","240,000","seed","2012-11-01","Details",""
"18",18,"Betaspring","AutoBike","16,000","seed","2012-07-01","Details",""
"19",19,"Betaspring","Socialping","165,000","seed","2012-04-01","Details",""
"20",20,"Betaspring","Plandree","50,000","seed","2012-12-20","Details",""
"21",21,"Betaspring","Accelereach","50,000","seed","2009-08-01","Details",""
"22",22,"Betaspring","Sproutel","14,000","seed","2012-04-01","Details",""
"23",23,"Betaspring","StudyEgg","160,000","seed","2011-06-01","Details",""
"24",24,"Betaspring","Expedit.us","","seed","2009-06-01","Details","Dead"
"25",25,"Betaspring","DijiPOP","1,000,000","seed","2009-08-01","Details","Exited"
"26",26,"Betaspring","Recroup","60,000","seed","2013-02-22","Details",""
"27",27,"Betaspring","Diavibe","20,000","seed","2010-06-01","Details","Dead"
