"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"500startups","rapt.fm",NA,"seed","2013-09-05","Details",NA
"2",1,"Bizdom","Backstitch","100,000","convertible_note","2013-11-08","Details",""
"3",2,"Bizdom","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"4",3,"Bizdom","Greenlancer","500,000","venture","2013-07-11","Details",""
"5",4,"Bizdom","BigRiver","","seed","2012-01-01","Details",""
"6",5,"Bizdom","TernPro","395,000","seed","2015-05-28","Details",""
"7",6,"Bizdom","SafeCare","25,000","seed","2012-04-19","Details","Dead"
"8",7,"Techstars","backstitch","100,000","convertible_note","2013-11-08","Details",""
"9",8,"Bizdom","Oarex","100,000","convertible_note","2014-12-22","Details",""
"10",9,"Bizdom","Big River","","seed","2012-01-01","Details",""
"11",10,"Bizdom","Oarex","25,000","seed","2014-09-05","Details",""
"12",11,"Bizdom","Backstitch","20,000","seed","2012-11-30","Details",""
"13",12,"Bizdom","Mascot Secret","","seed","2013-04-28","Details",""
"14",13,"Bizdom","Guidesmob","125,000","seed","2013-10-23","Details",""
"15",14,"Bizdom","InStoreFinance","165,000","seed","2013-06-01","Details",""
"16",15,"Bizdom","Quixby","","seed","2013-04-30","Details",""
"17",16,"Techstars","backstitch","20,000","seed","2012-11-30","Details",""
"18",17,"Bizdom","Chalkfly","","seed","2013-10-23","Details","Exited"
"19",18,"Bizdom","Slope","395,000","seed","2015-03-31","Details",""
"20",1,"Y Combinator","Cribspot","660,000","seed","2014-09-21","Details",""
"21",2,"Bizdom","Backstitch","100,000","convertible_note","2013-11-08","Details",""
"22",3,"Bizdom","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"23",4,"Griffon Ventures","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"24",5,"Alliance of Angels","Slope","1,000,000","seed","2016-09-12","Details",""
"25",6,"Bizdom","Greenlancer","500,000","venture","2013-07-11","Details",""
"26",7,"Innovation Fund Northeast Ohio","Quixby","25,000","grant","2012-03-23","Details",""
"27",8,"Microsoft Accelerator","Slope","","non_equity_assistance","2015-04-17","Details",""
"28",9,"First Step Fund","Cribspot","660,000","seed","2014-09-21","Details",""
"29",10,"Bizdom","BigRiver","","seed","2012-01-01","Details",""
"30",11,"Huron River Ventures","Cribspot","660,000","seed","2014-09-21","Details",""
"31",12,"Bizdom","TernPro","395,000","seed","2015-05-28","Details",""
"32",13,"K5 Ventures","Mascot Secret","","seed","2013-04-28","Details",""
"33",14,"Start Garden","Greenlancer","500,000","venture","2013-07-11","Details",""
"34",15,"gener8tor","Passage","70,000","seed","2015-02-06","Details",""
"35",16,"Bizdom","SafeCare","25,000","seed","2012-04-19","Details","Dead"
"36",17,"James O.","Quixby","125,000","seed","2011-11-01","Details",""
"37",18,"Bizdom","Oarex","100,000","convertible_note","2014-12-22","Details",""
"38",19,"Bizdom","Big River","","seed","2012-01-01","Details",""
"39",20,"Strauss Zelnick","Slope","395,000","seed","2015-03-31","Details",""
"40",21,"Bizdom","Oarex","25,000","seed","2014-09-05","Details",""
"41",22,"Bizdom","Backstitch","20,000","seed","2012-11-30","Details",""
"42",23,"Detroit Venture Partners","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"43",24,"Bizdom","Mascot Secret","","seed","2013-04-28","Details",""
"44",25,"Partners Innovation Fund","InStoreFinance","125,000","debt_financing","2012-10-01","Details",""
"45",26,"Bizdom","Guidesmob","125,000","seed","2013-10-23","Details",""
"46",27,"Ludlow Ventures","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"47",28,"Start Garden","Chalkfly","750,000","venture","2013-03-19","Details","Exited"
"48",29,"Microsoft Accelerator","Slope","395,000","seed","2015-03-31","Details",""
"49",30,"William K.","Quixby","125,000","seed","2011-11-01","Details",""
"50",31,"Start Garden","Birdhouse For Autism","250,000","angel","2014-04-04","Details",""
"51",32,"Marc de La Bruyere","Slope","395,000","seed","2015-03-31","Details",""
"52",33,"Frank Sica","Slope","395,000","seed","2015-03-31","Details",""
"53",34,"Bizdom","InStoreFinance","165,000","seed","2013-06-01","Details",""
"54",35,"Right Side Capital Management","Passage","750,000","venture","2016-05-26","Details",""
"55",36,"Bizdom","Quixby","","seed","2013-04-30","Details",""
"56",37,"Toba Capital","Mascot Secret","510,000","venture","2013-08-07","Details",""
"57",38,"Blue Water Angels","Greenlancer","500,000","venture","2013-07-11","Details",""
"58",39,"Northern Michigan Angels","Greenlancer","500,000","venture","2013-07-11","Details",""
"59",40,"Venture for America","TernPro","395,000","seed","2015-05-28","Details",""
"60",41,"Bizdom","Chalkfly","","seed","2013-10-23","Details","Exited"
"61",42,"Jonathon Triest","Chalkfly","","angel","2012-09-24","Details","Exited"
"62",43,"Right Side Capital Management","Backstitch","100,000","convertible_note","2016-02-26","Details",""
"63",44,"Bizdom","Slope","395,000","seed","2015-03-31","Details",""
"64",45,"Microsoft Accelerator Seattle","Slope","","non_equity_assistance","2015-04-17","Details",""
"65",46,"Second Avenue Partners","Slope","1,000,000","seed","2016-09-12","Details",""
