"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Blue Startups","Tealet","70,000","undisclosed","2013-03-12","Details",""
"2",2,"Blue Startups","CandyBAR","20,000","seed","2015-03-03","Details",""
"3",3,"Blue Startups","Ritify","20,000","seed","2013-10-16","Details","Dead"
"4",4,"Blue Startups","Ingollow","20,000","seed","2014-04-17","Details",""
"5",5,"Blue Startups","Focus Opus","20,000","seed","2014-04-30","Details",""
"6",6,"Blue Startups","Volta","50,000","seed","2013-07-01","Details",""
"7",7,"Blue Startups","Comprendio","25,000","seed","2016-01-21","Details",""
"8",8,"Blue Startups","Adventure Local (Advlo)","20,000","seed","2014-10-17","Details",""
"9",9,"Blue Startups","InTouch","20,000","seed","2014-10-17","Details",""
"10",10,"Blue Startups","benjamin","50,000","seed","2016-03-10","Details",""
"11",11,"Blue Startups","benjamin","20,000","seed","2015-02-20","Details",""
"12",12,"Blue Startups","Happy Hour Pal","50,000","seed","2014-12-23","Details",""
"13",13,"Blue Startups","Volta","20,000","seed","2013-04-30","Details",""
"14",14,"Blue Startups","Huedoku","20,000","seed","2015-04-03","Details",""
"15",15,"Blue Startups","Happy Hour Pal","20,000","seed","2013-11-01","Details",""
"16",16,"Blue Startups","VRCHIVE","110,000","seed","2014-10-14","Details",""
"17",17,"Blue Startups","Freshr","15,000","seed","2015-12-14","Details",""
"18",18,"500startups","Tealet","70,000","undisclosed","2013-03-12","Details",""
"19",19,"Blue Startups","Vantage Sports","1,600,000","venture","2014-05-08","Details",""
"20",20,"Blue Startups","MeetingSift","20,000","seed","2013-10-31","Details",""
"21",21,"Blue Startups","Wicked Loot","20,000","seed","2013-04-29","Details",""
"22",22,"Blue Startups","eSEE/RESCUE","20,000","seed","2013-09-23","Details",""
"23",23,"Blue Startups","XMAP","20,000","seed","2013-10-07","Details",""
"24",24,"The Alchemist Accelerator","MeetingSift","815,000","seed","2015-02-12","Details",""
"25",25,"Boost VC","VRChive","20,000","seed","2015-05-21","Details",""
"26",26,"The Alchemist Accelerator","MeetingSift","20,000","seed","2013-10-31","Details",""
"27",27,"500startups","Vantage Sports","1,600,000","venture","2014-05-08","Details",""
"28",28,"Boost VC","VRChive","110,000","seed","2014-10-14","Details",""
"29",29,"Blue Startups","Ujoin","20,000","seed","2015-03-12","Details",""
"30",30,"AngelPad","KeyReply","25,000","angel","2015-10-15","Details",""
"31",31,"Blue Startups","Volta","1,875,000","seed","2014-01-09","Details",""
"32",32,"Blue Startups","Juicies","20,000","seed","2014-04-03","Details",""
"33",33,"Blue Startups","Vantage Sports","700,000","venture","2014-09-01","Details",""
"34",34,"500startups","Tealet","240,000","undisclosed","2014-02-10","Details",""
